set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
top,74949,2693,2819,6431,53832,791358,12763,30015,5383,3,3,0,1381,3,1,587.45,1,0,2,1,0,0,0,3
top,188858,2611,2749,6448,54728,763542,15515,26849,5339,3,3,0,1019,3,1,535.16,1,0,2,1,0,0,0,3
top,159899,2596,2739,6511,54551,736714,12871,37384,5395,3,3,0,953,3,2,545.86,1,0,2,1,0,0,0,3
top,101327,2607,2738,16379,55187,745990,13063,28831,8027,3,3,0,1263,3,2,564.61,1,0,2,1,0,0,0,3
top,12449,2634,2745,6443,57855,756738,12706,32179,5295,3,3,0,1155,3,1,497.46,1,0,2,1,0,0,0,3
top,20015,2791,2924,6539,57568,824598,13119,32408,5334,3,3,0,1093,3,2,669.42,1,0,2,1,0,0,0,3
top,97879,2657,2761,6394,54669,762362,12791,29577,5403,3,3,0,1443,3,1,566.69,1,0,2,1,0,0,0,3
top,202299,2735,2867,6483,22775,838946,14591,32317,5271,3,3,0,2491,3,1,605.07,1,0,2,1,0,0,0,3
top,205397,2675,2802,6479,59855,760738,12655,40331,5331,3,3,0,1015,3,1,550.20,1,0,2,1,0,0,0,3
top,13620,2699,2833,6503,54837,790542,12667,37781,5407,3,3,0,1385,3,1,587.08,1,0,2,1,0,0,0,3
top,167630,2608,2733,6403,53803,759178,13114,33447,5359,3,3,0,1195,3,1,497.77,1,0,2,1,0,0,0,3
top,41087,2617,2759,10887,57724,745366,12671,34833,5419,3,3,0,1113,3,1,535.23,1,0,2,1,0,0,0,3
top,187169,2725,2814,10571,70811,744637,15919,37967,5379,3,3,0,1113,3,1,534.73,1,0,2,1,0,0,0,3
top,39680,2721,2845,6403,27719,809258,23255,40097,5379,3,3,0,2495,3,1,620.65,1,0,2,1,0,0,0,3
top,84470,2663,2781,6467,25217,807154,12771,32037,5343,3,3,0,2487,3,1,582.09,1,0,2,1,0,0,0,3
top,113069,2650,2757,6483,54479,771374,13163,38843,5287,3,3,0,1081,3,1,531.18,1,0,2,1,0,0,0,3
top,96529,2627,2751,6459,54879,752206,12702,29827,5291,3,3,0,1079,3,1,552.23,1,0,2,1,0,0,0,3
top,97589,2716,2849,6439,60195,785014,12935,33008,5283,3,3,0,1113,3,1,574.86,1,0,2,1,0,0,0,3
top,187458,2618,2731,6479,60017,746514,12962,35567,5219,3,3,0,1419,3,1,581.54,1,0,2,1,0,0,0,3
top,126128,2824,2950,6527,54299,809270,13152,46983,7127,3,3,0,1089,3,1,610.24,1,0,2,1,0,0,0,3
top,84815,2604,2707,6499,57711,750906,13284,34731,5399,3,3,0,1073,3,1,553.46,1,0,2,1,0,0,0,3
top,129257,2757,2882,6475,25339,841786,15483,28177,5411,3,3,0,2445,3,1,634.56,1,0,2,1,0,0,0,3
top,93053,2788,2922,6495,54471,816425,13284,37339,5379,3,3,0,1089,3,2,625.35,1,0,2,1,0,0,0,3
top,144073,2632,2757,6387,57047,771778,13100,26987,5359,3,3,0,1097,3,1,569.81,1,0,2,1,0,0,0,3
top,195879,2788,2903,6411,22581,790962,12891,30956,5511,3,3,0,1279,3,1,516.50,1,0,2,1,0,0,0,3
top,24839,2624,2698,8155,68607,732214,12959,35709,5335,3,3,0,1413,3,1,500.97,1,0,2,1,0,0,0,3
top,40028,2600,2718,6459,59525,743430,12891,29887,5303,3,3,0,1083,3,1,552.29,1,0,2,1,0,0,0,3
top,96180,2614,2738,6451,25075,790946,12783,28679,5419,2,2,0,1670,2,1,559.93,1,0,2,1,0,0,0,2
top,206214,2721,2818,8839,58401,779346,12951,44421,5411,3,3,0,1227,3,1,566.95,1,0,2,1,0,0,0,3
top,11747,2661,2778,6403,53739,782026,13367,24447,5375,3,3,0,1263,3,2,615.48,1,0,2,1,0,0,0,3
top,56537,2629,2748,6499,53885,765430,12647,33185,5303,3,3,0,1261,3,2,588.60,1,0,2,1,0,0,0,3
top,130663,2834,2938,6506,60413,772054,15683,38937,5403,3,3,0,1113,3,1,534.83,1,0,2,1,0,0,0,3
top,175740,2627,2756,6399,56607,759426,13123,33011,5339,3,3,0,1425,3,1,536.78,1,0,2,1,0,0,0,3
top,41375,2763,2878,10043,76131,778606,12699,30470,5311,3,3,0,1413,3,1,546.70,1,0,2,1,0,0,0,3
top,206503,2685,2788,6611,59157,714134,12750,30031,5415,3,3,0,1077,3,1,501.37,1,0,2,1,0,0,0,3
top,6606,2661,2775,6527,28337,813510,12755,29583,5371,3,3,0,2495,3,2,668.65,1,0,2,1,0,0,0,3
top,3479,2771,2901,6463,57155,807589,13159,38315,5443,3,3,0,1091,3,1,604.90,1,0,2,1,0,0,0,3
top,26239,2717,2836,6483,57457,784110,15715,37163,5255,3,3,0,1025,3,1,550.76,1,0,2,1,0,0,0,3
top,99283,2607,2741,6399,54533,766950,12747,33217,5315,3,3,0,1003,3,1,538.72,1,0,2,1,0,0,0,3
top,190902,2620,2720,6539,56963,744286,13284,38719,5339,3,3,0,1263,3,2,556.67,1,0,2,1,0,0,0,3
top,51395,2739,2857,6543,23015,819670,12803,32221,5339,3,3,0,2487,3,2,667.74,1,0,2,1,0,0,0,3
top,73074,2638,2764,6479,58840,767210,12867,24059,5243,3,3,0,1261,3,2,607.83,1,0,2,1,0,0,0,3
top,175453,2691,2802,6491,59775,779069,12759,32883,5311,3,3,0,1113,3,1,580.05,1,0,2,1,0,0,0,3
top,86165,2647,2729,13347,66405,747922,13227,35249,5387,3,3,0,1419,3,1,536.55,1,0,2,1,0,0,0,3
top,182633,2839,2933,6555,56127,811518,13492,38343,5371,3,3,0,1089,3,2,624.45,1,0,2,1,0,0,0,3
top,140971,2681,2795,6387,22167,831530,12731,25041,5367,3,3,0,2505,3,1,627.46,1,0,2,1,0,0,0,3
top,23142,2731,2842,8867,22355,816014,12831,26765,5439,3,3,0,2439,3,1,606.00,1,0,2,1,0,0,0,3
top,102023,2605,2751,6479,57622,745078,12695,30647,5403,3,3,0,1123,3,1,559.51,1,0,2,1,0,0,0,3
top,123361,2601,2748,6447,57397,757686,13075,28835,5327,3,3,0,1247,3,1,541.41,1,0,2,1,0,0,0,3
top,119735,2615,2741,6359,53851,773642,12779,30789,5335,3,3,0,1339,3,1,567.35,1,0,2,1,0,0,0,3
top,67933,2682,2794,6415,23109,829010,12915,27204,5403,3,3,0,2487,3,1,642.89,1,0,2,1,0,0,0,3
top,117863,2792,2934,9079,53905,743886,13072,30533,5399,3,3,0,2013,3,1,539.98,1,0,2,1,0,0,0,3
top,157509,2777,2859,6355,22339,814612,12762,42943,7702,3,3,0,2505,3,1,574.59,1,0,2,1,0,0,0,3
top,78570,2592,2710,6511,57267,747778,12715,27821,5399,3,3,0,1283,3,1,518.27,1,0,2,1,0,0,0,3
top,57239,2607,2749,6403,54663,755366,13367,35443,5243,3,3,0,1095,3,1,553.66,1,0,2,1,0,0,0,3
top,90870,2672,2777,6807,57289,746398,12939,38265,5399,3,3,0,1421,3,1,545.28,1,0,2,1,0,0,0,3
top,174047,2625,2730,6428,22578,797222,12859,30473,5375,3,3,0,2505,3,1,566.44,1,0,2,1,0,0,0,3
top,192779,2697,2778,6503,53693,781837,12699,46505,5283,3,3,0,1377,3,1,534.12,1,0,2,1,0,0,0,3
top,100099,2638,2802,6451,53983,766442,13080,35295,5375,3,3,0,1207,3,1,509.57,1,0,2,1,0,0,0,3
top,157859,2668,2804,13366,67505,732278,13342,51751,5319,3,3,0,1065,3,1,463.08,1,0,2,1,0,0,0,3
top,106823,2605,2769,6523,54959,733258,13095,32457,5351,3,3,0,1247,3,1,535.91,1,0,2,1,0,0,0,3
top,51740,2710,2857,6439,54520,794606,15827,29579,5291,3,3,0,1073,3,1,537.19,1,0,2,1,0,0,0,3
top,109590,2802,2905,6463,54663,832370,13103,32371,5359,3,3,0,1869,3,2,654.32,1,0,2,1,0,0,0,3
top,185761,2677,2759,6431,35947,801714,12691,31789,5363,3,3,0,2491,3,1,624.46,1,0,2,1,0,0,0,3
top,9703,2789,2908,6463,57141,776614,12723,23831,5375,3,3,0,1021,3,1,570.78,1,0,2,1,0,0,0,3
top,146814,2644,2754,6403,57283,749002,13303,49695,5315,3,3,0,1065,3,1,515.39,1,0,2,1,0,0,0,3
top,68279,2664,2759,6419,65483,764910,13103,33531,5351,3,3,0,1065,3,1,561.36,1,0,2,1,0,0,0,3
top,147989,2749,2951,6435,57252,783186,12727,39239,5331,3,3,0,1365,3,1,537.69,1,0,2,1,0,0,0,3
top,48269,2840,2952,7807,63995,829805,12760,27195,5323,3,3,0,1089,3,1,591.33,1,0,2,1,0,0,0,3
top,71029,2676,2798,6423,54423,777054,13195,34443,5347,3,3,0,1051,3,1,590.32,1,0,2,1,0,0,0,3
top,170919,2932,3035,6567,59939,827214,12715,29791,5407,3,3,0,1089,3,1,586.15,1,0,2,1,0,0,0,3
top,144887,2594,2717,9127,56641,744230,12779,35279,5383,3,3,0,1133,3,1,527.19,1,0,2,1,0,0,0,3
top,45497,2622,2753,6503,54753,743778,15711,34773,5335,3,3,0,1283,3,1,491.96,1,0,2,1,0,0,0,3
top,106302,2628,2742,16591,37099,732410,16055,37256,5295,3,3,0,1293,3,1,512.99,1,0,2,1,0,0,0,3
top,69629,2696,2785,6459,59904,771050,13144,38247,5319,3,3,0,1419,3,1,536.24,1,0,2,1,0,0,0,3
top,58410,2633,2744,6518,53399,772850,12655,30020,5295,3,3,0,1373,3,1,557.92,1,0,2,1,0,0,0,3
top,142379,2644,2762,6395,54433,764658,12739,38425,5387,3,3,0,1113,3,1,553.59,1,0,2,1,0,0,0,3
top,10519,2615,2733,6478,56725,748874,12947,30034,5266,3,3,0,1209,3,1,543.99,1,0,2,1,0,0,0,3
top,196399,2630,2730,6423,58863,741638,13127,40943,5427,3,3,0,1147,3,1,509.78,1,0,2,1,0,0,0,3
top,30158,2819,2959,9155,72659,778798,14319,40311,5307,3,3,0,1385,3,1,571.95,1,0,2,1,0,0,0,3
top,142667,2716,2812,6423,62433,770118,13304,41389,5399,3,3,0,1423,3,1,556.05,1,0,2,1,0,0,0,3
top,146100,2622,2754,6507,53888,765690,12810,30210,5306,3,3,0,1211,3,1,534.66,1,0,2,1,0,0,0,3
top,141319,2616,2750,6411,59867,752666,13059,37923,5359,3,3,0,1073,3,1,548.41,1,0,2,1,0,0,0,3
top,168733,2609,2741,6399,56647,729235,12758,51531,5423,3,3,0,1391,3,1,472.43,1,0,2,1,0,0,0,3
top,199170,2775,2894,11635,62108,796566,13239,34651,5335,3,3,0,1869,3,2,648.27,1,0,2,1,0,0,0,3
top,118560,2628,2753,8575,61507,747938,12747,38519,5487,3,3,0,1083,3,1,483.87,1,0,2,1,0,0,0,3
top,89766,2653,2751,6483,56507,771874,12707,26907,5507,3,3,0,1251,3,1,543.35,1,0,2,1,0,0,0,3
top,81342,2717,2809,8011,54575,778546,12778,24375,5283,3,3,0,1089,3,1,578.01,1,0,2,1,0,0,0,3
top,160609,2712,2837,8247,60139,784169,13240,37792,5315,3,3,0,1017,3,1,559.42,1,0,2,1,0,0,0,3
top,53089,2660,2786,12291,58639,755666,13135,30642,5371,3,3,0,1421,3,1,529.88,1,0,2,1,0,0,0,3
top,112719,2714,2833,6439,22343,838994,12826,26641,5463,3,3,0,2511,3,1,644.98,1,0,2,1,0,0,0,3
top,137844,2711,2845,6483,57201,802562,12679,27213,5399,3,3,0,1089,3,2,631.18,1,0,2,1,0,0,0,3
top,36553,2776,2897,6479,54427,825773,13287,29351,5363,3,3,0,1093,3,2,653.32,1,0,2,1,0,0,0,3
top,154381,2743,2854,6495,54455,800582,12674,32867,5411,3,3,0,1089,3,1,592.14,1,0,2,1,0,0,0,3
top,168167,2812,2938,6423,54373,774678,12947,31765,5379,3,3,0,1209,3,2,564.12,1,0,2,1,0,0,0,3
top,54492,2714,2827,15687,60627,749094,13102,35255,7979,3,3,0,933,3,1,536.19,1,0,2,1,0,0,0,3
top,64805,2712,2836,6439,54379,794582,12739,35664,5383,3,3,0,1087,3,2,629.89,1,0,2,1,0,0,0,3
top,6953,2682,2774,6507,54436,773066,12751,33135,5279,3,3,0,1083,3,1,556.81,1,0,2,1,0,0,0,3
