set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
top,96183,2665,2784,9155,22191,818194,12739,27271,5411,3,3,0,2511,3,1,580.64,1,0,2,1,0,0,0,3
top,174050,2828,2940,6467,22955,854110,15675,43871,5323,3,3,0,2505,3,1,621.14,1,0,2,1,0,0,0,3
top,141322,2724,2834,6531,54351,792894,13239,35962,5359,3,3,0,1073,3,1,535.20,1,0,2,1,0,0,0,3
top,84817,2606,2725,6543,54503,761486,13055,30623,5319,3,3,0,1073,3,1,522.61,1,0,2,1,0,0,0,3
top,8301,2632,2733,6479,53695,757454,15690,33059,5271,3,3,0,1421,3,1,470.94,1,0,2,1,0,0,0,3
top,170920,2813,2941,6503,56795,796766,23659,44767,5411,3,3,0,1089,3,1,567.19,1,0,2,1,0,0,0,3
top,81344,2676,2801,9219,57355,792486,12759,24359,5411,3,3,0,1087,3,2,601.18,1,0,2,1,0,0,0,3
top,114421,2685,2804,6455,57346,757505,12587,30716,5339,2,2,0,1038,2,1,522.56,1,0,2,1,0,0,0,2
top,6608,2740,2863,6487,22975,850202,12747,27639,5363,3,3,0,2495,3,2,660.13,1,0,2,1,0,0,0,3
top,202300,2692,2812,8455,27783,823190,12711,26998,5470,2,2,0,1630,2,1,587.82,1,0,2,1,0,0,0,2
top,154382,2789,2942,6551,54431,824333,12767,33279,5391,3,3,0,1869,3,2,608.04,1,0,2,1,0,0,0,3
top,123362,2597,2708,6407,54499,762502,13135,28695,5423,3,3,0,1247,3,1,528.23,1,0,2,1,0,0,0,3
top,69632,2610,2753,6427,57223,747582,16023,33388,5415,3,3,0,1419,3,1,523.08,1,0,2,1,0,0,0,3
top,33261,2639,2771,6387,22911,793326,12763,35771,5322,3,3,0,1287,3,1,536.55,1,0,2,1,0,0,0,3
