set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
top,1,1785,1939,25851,4871,436889,15071,30415,5423,1,1,0,453,1,1,361.09,1,0,2,1,0,0,0,3,219227,202619,54139,39117,8312,6751,9289,76889
top,34269,1890,2052,6463,1915,547034,12871,31871,5339,3,3,0,2105,3,2,388.20,1,1,2,1,0,0,0,3,278393,241802,86477,52652,7723,18801,8688,43560
top,186,2647,2738,8403,24355,797066,12783,26043,8135,3,3,0,1285,3,1,581.79,1,0,2,1,0,0,0,3,429559,370211,114789,89389,9980,31069,14965,60047
top,6699,1295,1424,6475,75863,268078,12775,28255,5375,1,1,0,403,1,1,277.96,1,0,2,1,0,0,0,2,147781,131707,21301,8347,2922,12864,5692,24954
top,12234,1294,1458,7243,53307,269848,12627,25191,5295,1,1,0,427,1,0,98.88,0,0,2,0,0,0,0,4,128369,94915,37905,46754,3292,8426,0,0
top,40560,1400,1555,6395,53959,266938,12743,39275,5383,1,1,0,355,1,0,48.48,0,0,2,0,0,0,0,4,102271,86029,54553,41921,290,5813,0,0
top,39681,2762,2923,6439,21831,849058,12651,27323,8111,3,3,0,2495,3,1,597.95,1,0,2,1,0,0,0,3,451087,393975,119727,96012,11544,33387,20253,59771
top,18472,1365,1495,13791,53902,234914,12563,25163,5463,1,1,0,421,1,1,203.58,1,0,2,0,0,0,0,4,109945,99267,32089,22487,286,3209,5681,22079
top,12450,2587,2707,6475,56711,756246,12651,24759,5351,3,3,0,1155,3,1,576.45,1,0,2,1,0,0,0,3,405629,348461,114005,70981,11550,30561,20390,57519
top,25064,1301,1427,6443,53891,231006,15780,25427,5363,1,1,0,427,1,1,171.84,1,0,2,0,0,0,0,4,101605,90975,36394,17687,290,2750,2998,24861
top,27348,2594,2743,6499,53127,715761,12768,30587,5363,3,3,0,1071,3,1,475.23,1,0,2,1,0,0,0,3,369787,319619,102971,84881,7783,25419,14942,48941
