set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
top,205397,2607,3478,6471,56518,765622,12779,23795,5342,3,3,0,1015,3,1,571.18,1,0,2,1,0,0,0,3,428227,373717,99921,93757,11712,38334,18058,50192
top,71029,2631,3524,6455,53903,777974,13052,24731,5351,3,3,0,1051,3,1,551.79,1,0,2,1,0,0,0,3,423853,372060,112734,88423,9018,33927,12654,47650
top,185,2600,3589,13135,22195,777621,12967,31199,5419,3,3,0,1317,3,1,572.36,1,0,2,1,0,0,0,3,420901,368880,113527,87603,9029,36360,18036,48754
top,51395,2687,3632,6551,29899,812398,12646,29574,5379,3,3,0,2517,3,1,586.46,1,0,2,1,0,0,0,3,440295,388383,117967,90968,11743,37292,18455,51520
top,20015,2710,3541,6475,56643,798102,13039,26803,5343,3,3,0,1093,3,2,596.92,1,0,2,1,0,0,0,3,444391,389629,114430,96763,11620,29043,18526,62450
top,39680,2684,3597,6439,21855,821238,17375,27144,5367,3,3,0,2495,3,1,589.28,1,0,2,1,0,0,0,3,447037,392186,118992,88475,14468,35733,18063,54310
top,115820,2649,3448,6531,53887,778381,16707,30526,5422,3,3,0,1001,3,1,551.66,1,0,2,1,0,0,0,3,431061,374132,98368,91783,11598,33883,15344,46426
top,11747,2676,3520,6503,58691,784994,13186,27411,5315,3,3,0,1263,3,2,582.11,1,0,2,1,0,0,0,3,427039,369882,118770,89955,11813,37066,16033,59746
top,106303,2701,3457,6435,56261,797822,15415,26783,5403,3,3,0,1251,3,1,592.87,1,0,2,1,0,0,0,3,446271,394629,110108,103417,11694,31536,26429,47865
top,41087,2771,3600,6403,59383,794758,12851,24295,5427,4,4,0,1484,4,1,536.74,1,0,2,1,0,0,0,4,427039,374911,103628,89866,12316,32197,18065,43654
top,99282,2630,3489,6471,53935,770014,13143,25784,5383,3,3,0,1001,3,1,536.94,1,0,2,1,0,0,0,3,422035,370213,112116,93843,11696,25603,12622,53312
top,96180,2703,3511,13367,21907,800214,12723,24195,5451,2,2,0,1670,2,1,584.93,1,0,2,1,0,0,0,2,437505,385995,108176,89336,11445,36135,15373,54166
top,71849,2647,3454,8926,55971,747722,12677,24539,5387,3,3,0,1149,3,1,537.87,1,0,2,1,0,0,0,3,406771,357570,120795,82588,11595,30191,18050,47870
top,163350,2600,3210,6451,53967,750214,13026,24143,5463,3,3,0,1063,3,1,519.28,1,0,2,1,0,0,0,3,409099,364360,111961,95213,11572,27811,12654,47480
top,177677,2612,3576,6431,1879,813464,12667,33007,5343,3,3,0,1631,3,1,573.20,1,0,2,1,0,0,0,3,451321,396779,115481,99303,11555,38900,18060,48828
top,109590,2797,3625,6523,53875,826394,13251,24623,5343,3,3,0,1869,3,2,635.79,1,0,2,1,0,0,0,3,466801,414764,115661,91421,11578,36241,18361,67905
top,159899,2672,3461,6483,59363,770666,12939,24495,5415,3,3,0,953,3,2,525.79,1,0,2,1,0,0,0,3,410147,358222,107546,96407,11664,16955,10622,59862
top,9703,2740,3435,6459,53855,758286,13003,25315,5295,3,3,0,1021,3,1,547.13,1,0,2,1,0,0,0,3,404585,349965,104318,80533,11729,36509,12616,50237
top,36553,2772,3589,6519,56583,821482,13382,25143,8083,3,3,0,1093,3,2,617.01,1,0,2,1,0,0,0,3,475135,414671,113029,94221,19621,32107,18381,70636
top,188858,2696,3552,6555,54171,774110,12695,27307,5275,3,3,0,1019,3,1,543.10,1,0,2,1,0,0,0,3,415385,366083,107363,93841,9470,30484,15369,48738
top,117863,2756,3602,6471,53190,750826,13039,33215,5395,3,3,0,2013,3,1,502.59,1,0,2,1,0,0,0,3,413043,354833,115990,95481,9207,27250,9963,43488
top,67933,2646,3573,6511,22179,814874,12787,24555,5423,3,3,0,2487,3,1,570.37,1,0,2,1,0,0,0,3,445265,393044,115411,93979,12236,38528,18096,49495
top,23491,2646,3405,6499,56639,778494,12866,24679,5423,3,3,0,1083,3,1,526.58,1,0,2,1,0,0,0,3,417329,362885,117505,103451,11584,25502,15280,48676
top,8010,2599,3437,6450,53887,759870,12647,24707,5355,3,3,0,1109,3,1,517.38,1,0,2,1,0,0,0,3,405827,351388,109120,92435,9294,36352,11114,43944
top,84470,2713,3555,6483,24607,836762,12647,24427,5331,3,3,0,2487,3,1,593.88,1,0,2,1,0,0,0,3,449197,397549,149010,96611,11596,35522,21967,51600
top,73073,2641,3510,6395,53615,776206,12755,27526,5315,3,3,0,2013,3,1,548.95,1,0,2,1,0,0,0,3,438523,384380,115182,97887,9032,38080,15336,49018
top,93053,2713,3569,6491,56743,799990,13072,24579,5379,3,3,0,1089,3,2,616.13,1,0,2,1,0,0,0,3,446137,391310,113579,88639,11791,37216,18708,59712
top,142667,2606,3438,6459,56275,756834,13000,25547,5315,3,3,0,1423,3,1,490.15,1,0,2,1,0,0,0,3,401399,347305,97978,91945,8845,30205,12639,43898
top,151093,2622,3495,6464,55782,764681,13108,27991,8135,3,3,0,1195,3,1,533.57,1,0,2,1,0,0,0,3,415627,363869,107492,93191,11695,35842,18090,46148
top,41375,2722,3550,8907,53666,774457,15799,27903,5295,3,3,0,1413,3,1,512.36,1,0,2,1,0,0,0,3,425895,357698,107603,95086,11753,25416,18014,46310
top,33260,2617,3489,6383,21911,796430,12735,25079,8135,3,3,0,1285,3,1,546.01,1,0,2,1,0,0,0,3,421827,366739,133084,93017,11848,33403,15369,51718
top,129605,2670,3502,8723,56636,779490,12727,25007,10455,3,3,0,1079,3,1,546.60,1,0,2,1,0,0,0,3,420861,369061,114864,89851,11547,25473,18438,51762
top,118561,2652,3470,6439,56691,779781,12793,24347,5383,3,3,0,1123,3,1,499.91,1,0,2,1,0,0,0,3,419487,365415,115776,102017,11570,25921,15336,41242
top,157859,2674,3529,6515,61611,763213,13011,31727,5331,3,3,0,1065,3,1,529.89,1,0,2,1,0,0,0,3,412433,357733,108603,83866,9614,25345,15296,51502
top,54492,2642,3472,6435,55407,766462,13399,29327,5295,3,3,0,933,3,1,542.20,1,0,2,1,0,0,0,3,419831,370431,109006,89309,12126,30736,18057,47412
top,206503,2611,3404,6575,55959,711634,12722,25186,5427,3,3,0,1077,3,1,501.87,1,0,2,1,0,0,0,3,398509,341405,96263,86213,8867,20875,19291,49313
top,58410,2642,3320,6467,53090,776586,12735,29959,5719,3,3,0,1373,3,1,549.25,1,0,2,1,0,0,0,3,430063,380759,115306,94519,11996,31048,18032,47206
top,192779,2695,3588,6491,55922,785742,12654,33127,5310,3,3,0,1391,3,1,578.81,1,0,2,1,0,0,0,3,437623,383125,109141,91287,11703,33067,15345,51906
top,142379,2618,3449,6435,53911,766546,12743,24587,5375,3,3,0,1113,3,1,526.54,1,0,2,1,0,0,0,3,419029,372822,109115,95405,11569,35431,12645,49017
top,28985,2717,3527,13147,60279,751826,12871,24735,8039,3,3,0,1155,3,1,526.28,1,0,2,1,0,0,0,3,410037,362444,106851,90556,12053,33257,12640,47310
top,158915,2622,3465,6430,56682,766754,12695,24235,5327,3,3,0,1113,3,1,537.30,1,0,2,1,0,0,0,3,414015,362395,110080,89331,11732,28820,15728,43610
top,45497,2629,3422,13655,53979,742114,12686,30235,8074,3,3,0,1443,3,1,500.24,1,0,2,1,0,0,0,3,391890,343375,105409,86557,9037,19648,19126,43538
top,51740,2637,3447,6479,56595,772442,13047,27315,5383,3,3,0,1073,3,1,534.14,1,0,2,1,0,0,0,3,412881,361033,122415,83833,12160,30675,18090,48650
top,129257,2723,3686,6399,24459,834322,12611,24799,5411,3,3,0,2445,3,1,595.71,1,0,2,1,0,0,0,3,463481,401106,113760,96549,12010,40628,18200,51466
top,203705,2599,3416,6507,53923,761758,12803,24611,5323,3,3,0,1113,3,1,523.49,1,0,2,1,0,0,0,3,410407,358778,118364,87553,11682,30892,15368,46378
top,130663,2818,3686,6415,60123,771014,12771,27747,10803,3,3,0,1113,3,1,514.68,1,0,2,1,0,0,0,3,409569,354500,111475,87321,11611,23608,15336,43600
top,157509,2775,3663,6387,21827,827894,20303,38151,7039,3,3,0,2505,3,1,578.39,1,0,2,1,0,0,0,3,445319,393220,114093,94145,11971,33354,18058,51512
top,88098,2645,3428,6495,1911,825469,12727,27711,5315,3,3,0,1637,3,1,589.41,1,0,2,1,0,0,0,3,445471,390855,112237,93905,8895,38585,18470,48704
top,137844,2695,3493,6483,53943,800526,12623,24739,5419,3,3,0,1089,3,2,601.56,1,0,2,1,0,0,0,3,441673,389722,112739,91217,11588,32153,18360,62194
top,123361,2659,3401,6411,59311,774570,13259,27023,5387,3,3,0,1247,3,1,502.80,1,0,2,1,0,0,0,3,420621,368778,109676,102723,11546,28344,15368,41358
top,170919,2873,3709,6463,59359,793890,12875,31907,8203,3,3,0,1089,3,1,573.60,1,0,2,1,0,0,0,3,433689,381958,123955,93145,11587,35935,19435,53166
top,53089,2678,3522,6446,53675,782106,13084,24891,5335,3,3,0,1421,3,1,577.67,1,0,2,1,0,0,0,3,433997,379512,111543,92069,9042,33285,15297,56956
top,126128,2712,3549,8775,56615,789173,13055,24855,5323,3,3,0,1089,3,1,573.86,1,0,2,1,0,0,0,3,431233,379355,109871,91313,11590,35524,18419,51618
top,23142,2615,3561,6463,37719,789678,12631,25655,5431,3,3,0,2439,3,1,559.78,1,0,2,1,0,0,0,3,427103,375344,108187,93757,11763,27553,18014,49423
top,168167,2783,3617,6467,53934,770374,12659,28211,5491,3,3,0,1209,3,2,593.31,1,0,2,1,0,0,0,3,432457,380543,109424,88619,11903,32114,15643,56796
top,96529,2663,3517,6387,56775,772594,12823,29199,5427,3,3,0,1079,3,1,535.91,1,0,2,1,0,0,0,3,422881,368125,106606,95681,8862,33806,15331,43644
top,69629,2770,3577,10992,53946,789441,13148,35011,7095,3,3,0,1419,3,1,549.33,1,0,2,1,0,0,0,3,432681,380852,112131,97223,9218,33156,18063,47484
top,86165,2661,3470,6950,55003,761722,13048,26375,5331,3,3,0,1419,3,1,542.94,1,0,2,1,0,0,0,3,413773,364784,100714,83007,11710,33277,18051,47880
top,187458,2718,3452,6399,56656,791289,18839,25943,5247,3,3,0,1419,3,1,560.82,1,0,2,1,0,0,0,3,423979,374919,111743,96003,9038,35977,18195,43696
top,74949,2707,3515,6351,55875,799722,12743,26919,5427,3,3,0,1381,3,1,519.07,1,0,2,1,0,0,0,3,414267,359184,114419,88605,11760,27965,9946,48784
top,64805,2764,3581,6467,53879,821834,12691,28075,5491,3,3,0,1087,3,2,616.75,1,0,2,1,0,0,0,3,460555,406104,117942,94129,11606,34847,18334,67888
top,175453,2647,3361,6475,53903,773734,12742,28343,5315,3,3,0,1113,3,1,505.49,1,0,2,1,0,0,0,3,417941,360608,114752,92359,9487,31549,9921,48438
top,175741,2664,3457,6483,55850,776505,13072,27583,7935,3,3,0,1423,3,1,553.03,1,0,2,1,0,0,0,3,437551,377348,104866,97327,6799,28495,19195,53325
top,187170,2625,3414,6507,59323,764958,12930,24438,5367,3,3,0,1111,3,1,535.13,1,0,2,1,0,0,0,3,402909,351162,115682,84691,8894,30344,12700,44302
top,56537,2667,3477,6563,53159,785854,12715,29435,5311,3,3,0,1261,3,2,595.09,1,0,2,1,0,0,0,3,429839,380264,117548,87507,9038,39551,15676,58064
top,27059,2616,3448,8054,53135,755238,13059,25299,5299,3,3,0,1143,3,1,581.00,1,0,2,1,0,0,0,3,417389,367037,103121,84404,11929,38440,17993,46354
top,103199,2689,3547,6515,53126,787577,12742,32499,5283,3,3,0,1339,3,1,570.70,1,0,2,1,0,0,0,3,431989,380251,120985,96786,9164,35808,12630,54202
top,6606,2680,3581,6575,21923,830490,12831,23907,5319,3,3,0,2495,3,2,658.54,1,0,2,1,0,0,0,3,462113,410019,116831,88881,9017,39137,18375,73042
top,97879,2761,3631,12895,54403,788174,12690,29678,5387,3,3,0,1443,3,1,552.59,1,0,2,1,0,0,0,3,427173,375465,105459,93435,9119,32959,15296,55838
top,10519,2665,3545,6484,58679,770986,13219,26191,10711,3,3,0,1209,3,1,598.74,1,0,2,1,0,0,0,3,416401,369922,112599,93395,9174,33494,15368,61007
top,84815,2758,3572,6527,53927,780242,13014,24843,5391,3,3,0,1065,3,1,535.22,1,0,2,1,0,0,0,3,417924,368658,111813,92459,11708,30807,15322,52818
top,130955,2643,3452,9103,53895,765014,12879,27795,5319,3,3,0,1443,3,1,527.84,1,0,2,1,0,0,0,3,415923,361756,109495,94451,8862,30592,9924,49990
top,707,2664,3448,6495,59259,776898,13067,24563,5287,3,3,0,1173,3,1,540.78,1,0,2,1,0,0,0,3,427759,373464,110536,94437,11553,30184,18032,43734
top,112719,2733,3600,6435,21831,832730,12699,29387,8075,3,3,0,2511,3,1,588.42,1,0,2,1,0,0,0,3,452051,400272,133544,96567,11571,37790,18023,48728
top,30158,2599,3490,6439,55775,759949,12754,27455,5403,3,3,0,1385,3,1,544.34,1,0,2,1,0,0,0,3,415247,365162,108950,88357,11623,33983,18093,47528
top,101327,2733,3535,6491,53839,779537,13171,27212,5439,3,3,0,1263,3,1,516.48,1,0,2,1,0,0,0,3,414863,368324,112060,95241,11983,24264,18051,46174
top,196399,2616,3465,6522,53939,754701,13028,26639,10871,3,3,0,1103,3,1,517.64,1,0,2,1,0,0,0,3,422073,372885,104934,102609,11654,23239,19194,43538
top,154380,2793,3626,7443,56195,825126,12698,24231,8239,3,3,0,1869,3,2,615.14,1,0,2,1,0,0,0,3,471139,404950,112301,97187,11780,28451,18360,68093
