rate_hz,run,class,blocks,mean_us,p50_us,p99_us,p999_us,max_us,misses
44100,repeat,nmc,188567,670.17,666,1137,1254,1572,2
44100,repeat,mc1,17931,1046.60,1050,1285,1392,1790,4
44100,repeat,mc2,22,2356.55,2425,2692,2692,2692,22
44100,repeat,mc3,271,2489.43,2549,2835,2891,2891,271
44100,repeat,mc0,0,0.00,0,0,0,0,0
44100,final,nmc,188503,682.72,671,1166,1282,1472,2
44100,final,mc1,17934,1085.31,1091,1313,1402,1864,7
44100,final,mc2,21,2344.33,2425,2703,2703,2703,21
44100,final,mc3,272,2488.15,2541,2810,2873,2873,272
44100,final,mc0,0,0.00,0,0,0,0,0
48000,comparison,nmc,205376,667.92,673,1122,1260,1565,55
48000,comparison,mc1,19373,1039.28,1042,1269,1374,1508,51
48000,comparison,mc2,10,2639.80,2624,2716,2716,2716,10
48000,comparison,mc3,258,2525.53,2575,2824,2840,2840,258
48000,comparison,mc0,0,0.00,0,0,0,0,0
