case,blocks_nmc,blocks_mc1,blocks_mc2,blocks_mc3,miss_nmc,miss_mc1,miss_mc2,miss_mc3
c_f0_080,3088,403,0,0,0,2,0,0
c_f0_100,3007,484,0,0,0,1,0,0
c_f0_130,2951,521,0,0,0,0,0,0
c_f0_160,2917,558,0,0,0,0,0,0
c_f0_200,2913,561,0,0,0,1,0,0
c_f0_250,2892,578,0,0,0,0,0,0
c_f0_300,2890,578,0,0,0,1,0,0
c_f0_350,2892,578,0,0,2,0,0,0
c_f0_400,2896,580,0,0,0,1,0,0
c_gliss_80_440,2915,554,0,0,0,0,0,0
c_gliss_440_80,2905,564,0,0,0,0,0,0
d_step_80_160,3001,488,2,0,0,0,2,0
d_step_220_110,2946,537,0,0,1,0,0,0
d_step_110_440,2929,546,1,0,0,0,1,0
d_step_220_440,2901,565,0,1,1,1,0,1
d_step_65_130,3056,431,0,1,0,0,0,1
d_step_147_220_330,2914,559,0,1,0,0,0,1
