class,ordinal,no_lpc,local,shared,neutral,miss,empty,timestamp,order,coefficients,lambda,gamma,rate,strategy
1,0,0,0,0,0,17930,0,17930,0,17930,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,22,0,22,0,22,0,0,0,0
2,1,0,19,0,0,3,0,3,0,3,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,272,0,272,0,272,0,0,0,0
3,1,0,255,0,0,17,0,17,0,17,0,0,0,0
3,2,0,251,0,0,21,0,21,0,21,0,0,0,0
3,3,0,6,0,0,2,0,2,0,2,0,0,0,0
