set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
top,71303,2534,3358,9615,56475,688859,12655,29747,5471,3,3,0,1773,3,1,494.17,1,1,2,1,0,0,0,3,338644,288843,111289,26536,10387,44546,3039,22986
top,185,2504,3441,6483,23147,733739,13011,30826,5411,3,3,0,1285,3,1,509.71,1,0,2,1,0,0,0,3,346956,294225,116831,28980,10406,39037,4131,23380
top,160609,2502,3364,9227,55471,717464,13091,23519,5399,3,3,0,1081,3,1,528.16,1,0,2,1,0,0,0,3,359250,299257,106473,27493,8850,47740,3014,23972
top,64805,2617,3438,6411,59683,762177,12587,23891,5467,3,3,0,1087,3,2,582.37,1,0,2,1,0,0,0,3,378132,326027,122140,27261,10410,42728,3295,44954
top,188858,2487,3393,6535,55303,714633,12759,25115,5299,3,3,0,1019,3,1,498.81,1,0,2,1,0,0,0,3,334014,280900,116619,24415,10428,41808,4087,23074
top,8011,2515,3328,6391,57036,728521,12727,29963,8015,3,3,0,1113,3,1,554.13,1,0,2,1,0,0,0,3,366504,311180,114067,26180,13013,44528,3046,25008
top,53779,2510,3315,6443,57159,720469,12843,27387,5535,3,3,0,951,3,1,482.81,1,0,2,1,0,0,0,3,353858,293386,112282,29614,9262,39627,3028,23560
top,71029,2545,3424,6475,57123,740687,13135,26274,5747,3,3,0,1051,3,1,502.01,1,0,2,1,0,0,0,3,361644,306357,129972,27116,10829,39482,3028,25398
top,157509,2541,3382,6391,28278,743709,12823,35447,5467,3,3,0,2505,3,1,533.04,1,0,2,1,0,0,0,3,360142,307441,116284,27117,10421,41880,3019,28420
top,112718,2507,3404,6439,28151,745651,12715,26667,5495,2,2,0,1630,2,1,572.35,1,0,2,1,0,0,0,2,378500,324196,111891,24990,10200,41068,3049,36126
top,27059,2498,3332,6475,54951,690296,12851,26859,10603,3,3,0,1143,3,1,515.90,1,0,2,1,0,0,0,3,341230,286852,103177,30706,8858,44034,3052,26012
top,71849,2507,3386,8659,62619,700627,12799,27843,5475,3,3,0,1149,3,1,524.13,1,0,2,1,0,0,0,3,346820,289122,112389,27336,10417,38646,3048,24818
top,40028,2479,3292,6500,54727,709467,12691,27463,5443,3,3,0,1083,3,1,511.88,1,0,2,1,0,0,0,3,344058,294092,109734,25758,14048,42182,3027,20690
top,9703,2647,3382,6395,59827,722039,12779,24723,5331,3,3,0,1021,3,1,521.78,1,0,2,1,0,0,0,3,352042,295081,112934,24189,10475,42869,3025,19564
top,8300,2466,3244,6467,53948,712479,12735,24723,8391,3,3,0,1419,3,1,512.40,1,0,2,1,0,0,0,3,340898,285785,97113,27576,10382,45403,4136,23250
top,101327,2535,3441,7343,66584,722669,15751,24591,5403,3,3,0,1263,3,2,528.29,1,0,2,1,0,0,0,3,350996,298472,122642,23150,10903,45408,3310,39650
top,68279,2472,3314,6411,57356,710954,13279,32516,5403,3,3,0,1075,3,1,524.10,1,0,2,1,0,0,0,3,343012,293528,110118,25717,10462,43933,4179,23262
top,97589,2506,3319,6439,59835,721416,12802,24287,5375,3,3,0,1113,3,1,527.23,1,0,2,1,0,0,0,3,358790,303539,112519,28330,10435,43920,3020,31318
top,141319,2601,3473,6495,57032,757039,15707,27287,5379,3,3,0,1073,3,1,575.23,1,0,2,1,0,0,0,3,382416,319159,113349,28333,10535,44445,3023,38976
top,51740,2543,3329,6443,57163,742079,12871,26647,5359,3,3,0,1073,3,1,501.74,1,0,2,1,0,0,0,3,336004,283502,132018,23214,8867,41619,3021,23242
top,30158,2528,3380,8939,60011,717093,15555,24543,8163,3,3,0,1385,3,1,515.59,1,0,2,1,0,0,0,3,350294,295603,116047,26796,10476,39555,3023,25225
top,187458,2557,3302,6375,59787,735404,12699,24439,5275,3,3,0,1419,3,1,521.37,1,0,2,1,0,0,0,3,348804,299407,116431,28669,10441,43949,3009,26199
top,12449,2483,3305,8523,57135,711437,12663,24347,5319,3,3,0,1155,3,1,515.46,1,0,2,1,0,0,0,3,339288,289707,120071,23718,10849,38759,4173,25962
top,74949,2555,3120,6427,64487,728293,12632,24543,5403,3,3,0,1381,3,1,509.49,1,0,2,1,0,0,0,3,348836,293003,118178,21936,10405,41812,3022,23198
top,199170,2537,3289,9079,54439,730949,13055,27243,5387,3,3,0,1869,3,2,568.20,1,0,2,1,0,0,0,3,368942,316797,118752,27521,10431,42495,3298,42248
top,129605,2506,3338,6439,59679,717701,12647,29855,7719,3,3,0,1079,3,1,520.57,1,0,2,1,0,0,0,3,345762,288359,113649,21447,10441,45417,3396,23372
top,13620,2491,2943,6399,54907,705511,16703,27910,5463,3,3,0,1335,3,1,521.58,1,0,2,1,0,0,0,3,336678,275847,119395,6392,10393,44079,3031,23208
top,164526,2475,3097,9115,56327,718909,12643,24895,5319,3,3,0,1379,3,1,506.84,1,0,2,1,0,0,0,3,349756,291966,119028,24230,10658,39011,3008,26050
top,20015,2602,3450,6467,54619,758867,14563,24147,5414,3,3,0,1093,3,2,598.74,1,0,2,1,0,0,0,3,383010,328045,119145,24312,10463,45400,3653,42204
top,157859,2578,3359,16163,57779,708037,17216,30887,5335,3,3,0,1065,3,1,492.44,1,0,2,1,0,0,0,3,329758,280283,112968,25420,10409,38974,3058,19801
top,117863,2572,3409,6463,53543,687517,14592,26467,5491,3,3,0,2013,3,1,514.04,1,0,2,1,0,0,0,3,346264,291237,106032,23740,8842,43558,2995,20326
top,202299,2537,3341,6531,25564,763039,15671,24539,5267,3,3,0,2491,3,1,539.09,1,0,2,1,0,0,0,3,367926,312785,118841,27031,10821,43907,3036,26280
top,186107,2497,3372,6491,59883,714802,12827,29099,5451,3,3,0,1065,3,1,519.98,1,0,2,1,0,0,0,3,352770,295038,114457,25655,11582,44023,4154,25880
top,24548,2476,3328,6523,55623,704860,12787,27835,5359,3,3,0,1113,3,1,497.65,1,0,2,1,0,0,0,3,346530,291626,106615,39196,10373,43019,4145,23234
top,84815,2542,3443,9151,57247,708731,12992,26235,5379,3,3,0,1073,3,1,486.28,1,0,2,1,0,0,0,3,337142,290498,115944,25621,10425,41901,3006,20940
top,115820,2579,3409,6587,57131,742361,15503,33507,5387,3,3,0,1001,3,1,504.98,1,0,2,1,0,0,0,3,341556,288458,116751,24562,10410,42919,4157,23132
top,26239,2587,3479,6538,57263,735390,15275,28011,5311,3,3,0,1025,3,1,496.44,1,0,2,1,0,0,0,3,342438,290227,115048,24889,10402,42329,3046,23342
top,175453,2552,3287,6363,57087,739885,12678,23999,5338,3,3,0,1113,3,1,530.98,1,0,2,1,0,0,0,3,373370,312344,119098,31244,14181,39262,2997,28251
top,130663,2678,3362,6395,57672,728361,12687,33327,5403,3,3,0,1113,3,1,492.81,1,0,2,1,0,0,0,3,339955,279482,119682,26941,10422,36771,3017,20654
top,3479,2583,3441,6371,64964,736795,14762,35995,8139,3,3,0,1091,3,1,531.25,1,0,2,1,0,0,0,3,357188,302570,120150,27240,10443,48814,3011,23464
top,123360,2505,3039,9083,54539,724477,12979,24715,7727,3,3,0,1203,3,1,523.00,1,0,2,1,0,0,0,3,366738,311464,117387,35115,10439,41881,3409,23438
top,182633,2625,3508,7211,56572,759393,13015,25651,5394,3,3,0,1089,3,2,581.87,1,0,2,1,0,0,0,3,379140,324080,114917,27136,10833,42675,3313,41732
top,170918,2531,3386,6379,54179,748657,12691,23675,5371,3,3,0,1089,3,1,538.58,1,0,2,1,0,0,0,3,381778,318755,112079,27104,10420,41936,4198,29502
