set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,71303,0,4694567,4695904,295,4694527,16,0,1065101558,1194083328,2,4,10,10,246929,17480,38650,5482,3039,22986
top,71303,1,4694567,4696080,295,4694527,16,0,1065101558,1194083328,2,1,0,0,31411,3837,2995,5616,0,0
top,71303,2,4694567,4696256,295,4694527,16,0,1065101558,1194083328,2,1,0,0,10503,3625,2901,199,0,0
top,185,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,261519,21777,36489,10920,4131,23380
top,185,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,25282,2906,1278,2937,0,0
top,185,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7424,2686,1270,201,0,0
top,160609,0,10410213,10411566,177,10410751,16,0,1065101558,1194083328,2,4,10,10,262570,21576,45169,9337,3014,23972
top,160609,1,10410213,10411678,177,10410751,16,0,1065101558,1194083328,2,1,0,0,27104,2276,1322,5627,0,0
top,160609,2,10410398,10411789,185,10410751,16,0,1065101558,1194083328,2,1,0,0,9583,2043,1249,202,0,0
top,64805,0,4278705,4280058,181,4278655,16,0,1065101558,1194083328,2,4,10,10,273877,21189,38023,12047,3014,28762
top,64805,1,4278705,4280178,181,4278655,16,0,1065101558,1194083328,2,1,0,0,26311,2377,2719,2937,0,0
top,64805,2,4278885,4280299,180,4279039,16,0,1065101558,1194083328,2,4,10,10,25839,2087,1986,71,281,16192
top,188858,0,12218136,12219486,170,12218623,16,0,1065101558,1194083328,2,4,10,10,246831,18471,39215,9348,4087,23074
top,188858,1,12218136,12219596,170,12218623,16,0,1065101558,1194083328,2,1,0,0,27149,2296,1322,5613,0,0
top,188858,2,12218304,12219707,168,12218623,16,0,1065101558,1194083328,2,1,0,0,6920,2040,1271,211,0,0
top,8011,0,643909,645257,185,644479,16,0,1065101558,1194083328,2,4,10,10,275709,19044,41768,16210,3046,25008
top,8011,1,643909,645379,185,644479,16,0,1065101558,1194083328,2,1,0,0,28173,2906,1490,5607,0,0
top,8011,2,644094,645501,185,644479,16,0,1065101558,1194083328,2,1,0,0,7298,2618,1270,205,0,0
top,53779,0,3573081,3574428,158,3573247,16,0,1065101558,1194083328,2,4,10,10,253941,20224,35113,9916,3028,23560
top,53779,1,3573081,3574533,158,3573247,16,0,1065101558,1194083328,2,1,0,0,29849,4026,2288,5608,0,0
top,53779,2,3573239,3574638,158,3573247,16,0,1065101558,1194083328,2,1,0,0,9596,3765,2226,209,0,0
top,71029,0,4677079,4678446,170,4677631,16,0,1065101558,1194083328,2,4,10,10,275131,21163,36894,12037,3028,25398
top,71029,1,4677079,4678556,170,4677631,16,0,1065101558,1194083328,2,1,0,0,24337,2283,1330,2942,0,0
top,71029,2,4677263,4678667,184,4677631,16,0,1065101558,1194083328,2,1,0,0,6889,2059,1258,200,0,0
top,157509,0,10211490,10213047,413,10211839,16,0,1065101558,1194083328,2,4,10,10,270168,21256,37880,12045,3019,28420
top,157509,1,10211909,10213323,419,10211839,16,0,1065101558,1194083328,2,1,0,0,26840,2259,2034,2919,0,0
top,157509,2,10211909,10213599,419,10211839,16,0,1065101558,1194083328,2,1,0,0,10433,2001,1966,200,0,0
top,112718,0,7344931,7346489,407,7345279,16,0,1065101558,1194083328,2,4,10,10,291095,21230,37242,12089,3049,36126
