set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,40029,0,2693023,2694375,180,2693503,16,0,1065101558,1194083328,2,4,10,10,358865,81674,32273,8189,8343,55621
top,40029,1,2693023,2694494,180,2693503,16,0,1065101558,1194083328,2,1,0,0,28277,2804,1355,4465,0,0
top,40029,2,2693203,2694614,180,2693503,16,0,1065101558,1194083328,2,1,0,0,7781,2462,1301,211,0,0
top,185,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,356083,70169,30025,13319,16865,57852
top,185,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,25304,3042,1340,4483,0,0
top,185,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7697,2703,1308,206,0,0
top,26239,0,1810536,1811886,171,1811071,16,0,1065101558,1194083328,2,4,10,10,348729,72195,29855,12525,9524,58791
top,26239,1,1810536,1811996,171,1811071,16,0,1065101558,1194083328,2,1,0,0,24352,5068,1325,1780,0,0
top,26239,2,1810705,1812107,169,1811071,16,0,1065101558,1194083328,2,1,0,0,7115,2067,1309,203,0,0
top,26520,0,1828364,1829775,227,1827967,16,0,1065101558,1194083328,2,4,10,10,324821,70002,23870,12503,8344,55279
top,26520,1,1828606,1829927,233,1829119,16,0,1065101558,1194083328,2,4,10,10,31944,6795,1656,99,273,15995
top,26520,2,1828606,1830078,233,1829119,16,0,1065101558,1194083328,2,1,0,0,25754,3943,1611,4460,0,0
top,34268,0,2324204,2325726,573,2324095,16,0,1065101558,1194083328,2,4,10,10,193925,46923,8917,7032,11082,34188
top,34268,1,2324443,2325871,216,2324479,16,0,1065101558,1194083328,2,4,10,10,28596,3983,2394,74,275,15697
top,34268,2,2324636,2326017,193,2324479,16,0,1065101558,1194083328,2,1,0,0,23458,3953,2355,1779,0,0
top,23490,0,1634444,1635855,179,1635199,16,0,1065101558,1194083328,2,4,10,10,350771,72683,29909,9750,8356,55523
top,23490,1,1634623,1635975,180,1635199,16,0,1065101558,1194083328,2,1,0,0,33761,8261,1351,4471,0,0
top,23490,2,1634623,1636094,180,1635199,16,0,1065101558,1194083328,2,1,0,0,11003,5299,1299,215,0,0
top,1289,0,213642,214971,230,214015,16,0,1065101558,1194083328,2,4,10,10,313021,71187,14216,9777,8389,53065
top,1289,1,213642,215128,230,214015,16,0,1065101558,1194083328,2,1,0,0,30800,4162,2234,4474,0,0
top,1289,2,213864,215284,222,214015,16,0,1065101558,1194083328,2,1,0,0,9919,3747,2174,211,0,0
top,6606,0,553650,555207,412,553855,16,0,1065101558,1194083328,2,4,10,10,369541,77958,30172,9760,15363,60687
top,6606,1,554067,555483,417,554239,16,0,1065101558,1194083328,2,4,10,10,31935,5259,2069,104,266,15875
top,6606,2,554067,555759,417,554239,16,0,1065101558,1194083328,2,1,0,0,27117,2256,2033,4477,0,0
top,8299,0,662204,663615,237,662911,16,0,1065101558,1194083328,2,4,10,10,344115,77965,22762,15385,8350,50157
top,8299,1,662439,663773,235,662911,16,0,1065101558,1194083328,2,1,0,0,31854,6140,3570,4477,0,0
top,8299,2,662439,663932,235,662911,16,0,1065101558,1194083328,2,1,0,0,8811,3285,1314,210,0,0
top,9702,0,752136,753486,171,752767,16,0,1065101558,1194083328,2,4,10,10,344693,74927,27280,12503,12685,47683
top,9702,1,752136,753596,171,752767,16,0,1065101558,1194083328,2,1,0,0,24459,2340,1335,4479,0,0
top,9702,2,752305,753707,169,752767,16,0,1065101558,1194083328,2,1,0,0,6918,2055,1297,213,0,0
top,17730,0,1265804,1267326,573,1265791,16,0,1065101558,1194083328,2,4,10,10,205747,44572,14163,4337,12642,31393
top,17730,1,1266043,1267471,216,1266175,16,0,1065101558,1194083328,2,4,10,10,28870,4091,2345,98,282,16049
top,11747,0,882973,884329,210,882943,16,0,1065101558,1194083328,2,4,10,10,359767,73541,29999,12513,15362,58087
top,11747,1,882973,884468,210,882943,16,0,1065101558,1194083328,2,1,0,0,29505,2875,2763,4477,0,0
top,11747,2,883183,884608,210,883327,16,0,1065101558,1194083328,2,4,10,10,29242,2469,2043,62,262,19023
top,25530,0,1765004,1766444,591,1764991,16,0,1065101558,1194083328,2,4,10,10,304547,65925,24895,12495,13775,45289
top,25530,1,1765162,1766549,159,1764991,16,0,1065101558,1194083328,2,1,0,0,25681,4134,2971,2923,0,0
top,25530,2,1765321,1766654,158,1765375,16,0,1065101558,1194083328,2,4,10,10,27770,3777,2261,73,293,15865
top,13620,0,1002764,1004175,229,1003519,16,0,1065101558,1194083328,2,4,10,10,348285,62769,19080,15123,11031,58167
top,13620,1,1002993,1004325,231,1003519,16,0,1065101558,1194083328,2,1,0,0,33499,10458,1325,2943,0,0
top,13620,2,1002993,1004475,231,1003519,16,0,1065101558,1194083328,2,1,0,0,7325,2037,1291,208,0,0
top,41087,0,2760709,2762057,185,2761087,16,0,1065101558,1194083328,2,4,10,10,352737,72722,26120,9760,13021,55811
top,41087,1,2760709,2762179,185,2761087,16,0,1065101558,1194083328,2,1,0,0,29241,3012,2021,4459,0,0
top,41087,2,2760894,2762301,185,2761087,16,0,1065101558,1194083328,2,1,0,0,8925,2647,1989,202,0,0
top,34363,0,2330442,2331771,230,2331007,16,0,1065101558,1194083328,2,4,10,10,298923,63433,25930,10895,8369,53309
top,34363,1,2330442,2331928,230,2331007,16,0,1065101558,1194083328,2,1,0,0,29503,4025,1587,4461,0,0
top,34363,2,2330664,2332084,222,2331007,16,0,1065101558,1194083328,2,1,0,0,8953,3709,1533,219,0,0
top,36552,0,2470546,2471898,182,2470399,16,0,1065101558,1194083328,2,4,10,10,362513,75146,29983,12485,12636,55693
top,36552,1,2470546,2472019,182,2470399,16,0,1065101558,1194083328,2,1,0,0,26113,2452,2721,2926,0,0
top,36552,2,2470727,2472139,181,2470783,16,0,1065101558,1194083328,2,4,10,10,25422,1989,2051,76,294,15825
