set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,32213,0,2192684,2194141,527,2192383,16,0,1065101558,1194083328,2,4,10,10,242844,65735,15912,7043,6813,26569
top,32213,1,2192842,2194255,158,2192383,16,0,1065101558,1194083328,2,1,0,0,22192,3961,2300,1747,0,0
top,32213,2,2192842,2194370,158,2192383,16,0,1065101558,1194083328,2,1,0,0,13097,3688,4856,205,0,0
top,185,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,345544,64634,24273,10874,8372,53397
top,185,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,25449,3045,1326,1755,0,0
top,185,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7763,2764,1291,198,0,0
top,17825,0,1272042,1273371,230,1272703,16,0,1065101558,1194083328,2,4,10,10,308828,68742,20756,9824,9486,48123
top,17825,1,1272042,1273528,230,1272703,16,0,1065101558,1194083328,2,1,0,0,29309,6812,1512,1763,0,0
top,17825,2,1272264,1273684,222,1272703,16,0,1065101558,1194083328,2,1,0,0,9047,3788,1485,190,0,0
top,3479,0,353746,355219,182,353791,16,0,1065101558,1194083328,2,4,10,10,348566,64066,32223,10918,12668,57463
top,3479,1,353746,355340,182,353791,16,0,1065101558,1194083328,2,1,0,0,26002,2347,2746,2902,0,0
top,3479,2,353746,355460,182,353791,16,0,1065101558,1194083328,2,1,0,0,8431,2063,2675,197,0,0
top,34363,0,2330442,2331771,230,2331007,16,0,1065101558,1194083328,2,4,10,10,324640,65932,25993,12478,11521,53022
top,34363,1,2330442,2331928,230,2331007,16,0,1065101558,1194083328,2,1,0,0,28958,8782,1564,1755,0,0
top,34363,2,2330664,2332084,222,2331007,16,0,1065101558,1194083328,2,1,0,0,11807,6484,1523,200,0,0
top,8993,0,706762,708149,159,706687,16,0,1065101558,1194083328,2,4,10,10,327608,65860,30069,12442,9943,57481
top,8993,1,706921,708254,158,707071,16,0,1065101558,1194083328,2,4,10,10,28675,4130,2264,68,277,16007
top,8993,2,706921,708360,158,707071,16,0,1065101558,1194083328,2,1,0,0,25950,3994,2237,1749,0,0
top,15677,0,1134442,1135827,170,1134079,16,0,1065101558,1194083328,2,4,10,10,289902,65880,19707,9725,9940,35513
top,15677,1,1134442,1135942,170,1134079,16,0,1065101558,1194083328,2,1,0,0,20580,4081,3075,1741,0,0
top,15677,2,1134623,1136056,181,1134847,16,0,1065101558,1194083328,2,4,10,10,28597,3756,2283,71,248,16303
top,15677,3,1134623,1136170,181,1134847,16,0,1065101558,1194083328,2,1,0,0,10144,3992,2291,205,0,0
top,6954,0,576223,577575,180,576895,16,0,1065101558,1194083328,2,4,10,10,338398,72746,26876,9725,8367,57131
top,6954,1,576223,577694,180,576895,16,0,1065101558,1194083328,2,1,0,0,25706,2869,1341,1734,0,0
top,6954,2,576403,577814,180,576895,16,0,1065101558,1194083328,2,1,0,0,7769,2486,1308,187,0,0
top,10808,0,822942,824301,178,823423,16,0,1065101558,1194083328,2,4,10,10,318914,71046,28513,12442,7264,49175
top,10808,1,822942,824428,178,823423,16,0,1065101558,1194083328,2,1,0,0,23253,3962,1518,1753,0,0
top,10808,2,823120,824554,178,823423,16,0,1065101558,1194083328,2,1,0,0,8768,3604,1474,191,0,0
top,15819,0,1143611,1144953,378,1143679,16,0,1065101558,1194083328,2,4,10,10,326712,70916,15845,9959,16516,40133
top,15819,1,1143611,1145239,378,1143679,16,0,1065101558,1194083328,2,1,0,0,27105,3614,2042,1749,0,0
top,17413,0,1245611,1246949,203,1246207,16,0,1065101558,1194083328,2,4,10,10,312862,68130,25847,12450,8339,47917
top,17413,1,1245611,1247084,203,1246207,16,0,1065101558,1194083328,2,1,0,0,21159,3567,1564,1746,0,0
top,17413,2,1245809,1247218,198,1246207,16,0,1065101558,1194083328,2,1,0,0,8743,3268,1512,194,0,0
top,10519,0,804284,805695,201,804991,16,0,1065101558,1194083328,2,4,10,10,328574,78583,29776,12470,5657,49029
top,10519,1,804474,805829,190,804991,16,0,1065101558,1194083328,2,1,0,0,26284,3472,1329,1755,0,0
top,10519,2,804474,805963,190,804991,16,0,1065101558,1194083328,2,1,0,0,9311,3726,1303,194,0,0
top,15059,0,1094710,1096219,266,1095295,16,0,1065101558,1194083328,2,4,10,10,358562,72205,31469,10948,10283,49221
