set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,10808,0,822942,824301,178,823423,16,0,1065101558,1194083328,2,4,10,10,293685,47003,23105,12448,12634,46503
top,10808,1,822942,824428,178,823423,16,0,1065101558,1194083328,2,1,0,0,28322,3782,1539,1775,0,0
top,10808,2,823120,824554,178,823423,16,0,1065101558,1194083328,2,1,0,0,8494,3503,1462,195,0,0
top,185,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,340400,48770,33441,12458,13807,56001
top,185,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,27915,3017,1341,1779,0,0
top,185,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7573,2717,1314,193,0,0
top,10519,0,804284,805695,201,804991,16,0,1065101558,1194083328,2,4,10,10,315685,57466,37779,12476,7222,51787
top,10519,1,804474,805829,190,804991,16,0,1065101558,1194083328,2,1,0,0,31627,8787,1307,1759,0,0
top,10519,2,804474,805963,190,804991,16,0,1065101558,1194083328,2,1,0,0,11328,3129,1302,208,0,0
top,33259,0,2259644,2261055,212,2260351,16,0,1065101558,1194083328,2,4,10,10,323475,45912,29876,12458,13764,64037
top,33259,1,2259863,2261196,215,2260351,16,0,1065101558,1194083328,2,1,0,0,36918,11072,1330,1777,0,0
top,33259,2,2259863,2261337,215,2260351,16,0,1065101558,1194083328,2,1,0,0,8355,2710,1304,203,0,0
top,1290,0,213642,215129,230,214015,16,0,1065101558,1194083328,2,4,10,10,307785,55026,24069,12504,12675,54657
top,1290,1,213864,215286,230,214015,16,0,1065101558,1194083328,2,1,0,0,26924,4030,2219,1764,0,0
top,1290,2,214101,215443,237,214015,16,0,1065101558,1194083328,2,1,0,0,9411,3678,2202,192,0,0
top,17825,0,1272042,1273371,230,1272703,16,0,1065101558,1194083328,2,4,10,10,254667,45972,16429,12448,11043,40001
top,17825,1,1272042,1273528,230,1272703,16,0,1065101558,1194083328,2,1,0,0,24041,4074,1563,1785,0,0
top,17825,2,1272264,1273684,222,1272703,16,0,1065101558,1194083328,2,1,0,0,8898,3692,1493,196,0,0
top,32430,0,2206604,2208015,175,2207359,16,0,1065101558,1194083328,2,4,10,10,280371,48821,23457,9716,11027,56073
top,32430,1,2206782,2208132,177,2207359,16,0,1065101558,1194083328,2,1,0,0,31814,11311,1578,1783,0,0
top,32430,2,2206782,2208249,177,2207359,16,0,1065101558,1194083328,2,1,0,0,8629,2866,1522,201,0,0
top,32430,3,2206958,2208366,176,2207359,16,0,1065101558,1194083328,2,1,0,0,7962,2822,1509,181,0,0
top,1194,0,207404,208926,573,207487,16,0,1065101558,1194083328,2,4,10,10,235349,47408,11325,9742,8364,32869
top,1194,1,207643,209071,216,207487,16,0,1065101558,1194083328,2,1,0,0,30961,4016,3000,1761,0,0
top,1194,2,207836,209217,193,207871,16,0,1065101558,1194083328,2,4,10,10,29929,3717,2312,1618,269,15944
top,13621,0,1002993,1004325,231,1003519,16,0,1065101558,1194083328,2,4,10,10,354251,42734,38830,9742,12603,69427
top,13621,1,1002993,1004475,231,1003519,16,0,1065101558,1194083328,2,1,0,0,27238,2335,1391,1781,0,0
top,13621,2,1003226,1004625,233,1003519,16,0,1065101558,1194083328,2,1,0,0,9597,4741,1303,194,0,0
top,31595,0,2153110,2154619,266,2153599,16,0,1065101558,1194083328,2,4,10,10,324183,50723,24047,12512,11064,60109
top,31595,1,2153110,2154801,266,2153599,16,0,1065101558,1194083328,2,1,0,0,28164,2148,2060,1782,0,0
top,31595,2,2153110,2154983,266,2153599,16,0,1065101558,1194083328,2,1,0,0,7584,1912,1980,201,0,0
top,32213,0,2192842,2194224,170,2192383,16,0,1065101558,1194083328,2,4,10,10,201963,38027,2582,9724,6787,30271
top,32213,1,2192842,2194338,170,2192383,16,0,1065101558,1194083328,2,1,0,0,26771,6685,2340,1746,0,0
top,32213,2,2193023,2194452,181,2193535,16,0,1065101558,1194083328,2,4,10,10,29335,3651,1620,1647,270,15906
top,41375,0,2779239,2780573,236,2779903,16,0,1065101558,1194083328,2,4,10,10,314099,48122,19354,12448,11467,60743
top,41375,1,2779239,2780732,236,2779903,16,0,1065101558,1194083328,2,1,0,0,28258,3436,1326,1774,0,0
top,41375,2,2779475,2780890,236,2779903,16,0,1065101558,1194083328,2,1,0,0,8110,3097,1323,192,0,0
top,6605,0,553650,555208,406,553855,16,0,1065101558,1194083328,2,4,10,10,347593,45284,36386,9714,12678,61633
top,6605,1,553650,555485,406,553855,16,0,1065101558,1194083328,2,1,0,0,29653,2226,2687,1777,0,0
top,6605,2,553650,555761,406,553855,16,0,1065101558,1194083328,2,1,0,0,8139,1958,2624,196,0,0
top,9983,0,769964,771375,226,769663,16,0,1065101558,1194083328,2,4,10,10,295791,40225,26656,12476,5654,52995
top,9983,1,769964,771526,226,769663,16,0,1065101558,1194083328,2,1,0,0,28247,6704,2345,1781,0,0
top,9983,2,769964,771677,226,769663,16,0,1065101558,1194083328,2,1,0,0,10115,3640,2272,200,0,0
top,24548,0,1702309,1703657,185,1702783,16,0,1065101558,1194083328,2,4,10,10,300927,48753,17006,9732,14946,47465
top,24548,1,1702309,1703779,185,1702783,16,0,1065101558,1194083328,2,1,0,0,24882,2928,1335,1769,0,0
top,24548,2,1702494,1703901,185,1702783,16,0,1065101558,1194083328,2,1,0,0,10262,5320,1296,187,0,0
top,27863,0,1914349,1915811,284,1914751,16,0,1065101558,1194083328,2,4,10,10,318929,53497,26106,12440,13719,55749
