set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,17826,0,1272042,1273371,230,1272703,16,0,1065101558,1194083328,2,4,10,10,271145,51402,8136,16292,14139,45474
top,17826,1,1272042,1273528,230,1272703,16,0,1065101558,1194083328,2,1,0,0,26741,4150,1580,1773,0,0
top,17826,2,1272264,1273684,222,1272703,16,0,1065101558,1194083328,2,1,0,0,9053,3821,1466,209,0,0
top,877,0,187211,188549,203,187903,16,0,1065101558,1194083328,2,4,10,10,269699,43867,2694,9745,10992,45191
top,877,1,187211,188684,203,187903,16,0,1065101558,1194083328,2,1,0,0,26711,3532,1584,221,0,0
top,877,2,187409,188818,198,187903,16,0,1065101558,1194083328,2,1,0,0,8775,3244,1512,198,0,0
top,186,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,313659,51470,4489,12435,12949,56040
top,186,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,25314,3110,1384,1776,0,0
top,186,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7572,2783,1290,193,0,0
top,23491,0,1634444,1635855,179,1635199,16,0,1065101558,1194083328,2,4,10,10,316343,51652,4221,16284,16428,58704
top,23491,1,1634623,1635975,180,1635199,16,0,1065101558,1194083328,2,1,0,0,30820,5467,1336,1786,0,0
top,23491,2,1634623,1636094,180,1635199,16,0,1065101558,1194083328,2,1,0,0,8100,2590,1290,224,0,0
top,24840,0,1720839,1722173,236,1721215,16,0,1065101558,1194083328,2,4,10,10,284103,48199,5192,16040,14034,45456
top,24840,1,1720839,1722332,236,1721215,16,0,1065101558,1194083328,2,1,0,0,32734,6274,2086,1770,0,0
top,24840,2,1721075,1722490,236,1721215,16,0,1065101558,1194083328,2,1,0,0,9500,3283,1992,202,0,0
top,15895,0,1148382,1149732,177,1149055,16,0,1065101558,1194083328,2,4,10,10,292429,54372,4801,12442,11058,51286
top,15895,1,1148382,1149849,177,1149055,16,0,1065101558,1194083328,2,1,0,0,26188,3228,1570,1767,0,0
top,15895,2,1148558,1149966,176,1149055,16,0,1065101558,1194083328,2,1,0,0,8330,2894,1468,204,0,0
top,33950,0,2303804,2305215,201,2304511,16,0,1065101558,1194083328,2,4,10,10,253353,49044,2075,10902,13834,34232
top,33950,1,2304011,2305349,203,2304511,16,0,1065101558,1194083328,2,1,0,0,36487,13226,1575,1789,0,0
top,33950,2,2304011,2305484,203,2304511,16,0,1065101558,1194083328,2,1,0,0,11707,4828,1472,208,0,0
top,24549,0,1702309,1703657,185,1702783,16,0,1065101558,1194083328,2,4,10,10,297613,43397,2404,12442,13734,62506
top,24549,1,1702309,1703779,185,1702783,16,0,1065101558,1194083328,2,1,0,0,27610,2986,1354,1780,0,0
top,24549,2,1702494,1703901,185,1702783,16,0,1065101558,1194083328,2,1,0,0,10456,5488,1282,207,0,0
top,15678,0,1134442,1135827,170,1134079,16,0,1065101558,1194083328,2,4,10,10,206703,35292,3532,9742,9923,29844
top,15678,1,1134442,1135942,170,1134079,16,0,1065101558,1194083328,2,1,0,0,30793,5519,3012,1766,0,0
top,15678,2,1134623,1136056,181,1134847,16,0,1065101558,1194083328,2,4,10,10,27971,3719,2260,93,270,15839
top,15678,3,1134623,1136170,181,1134847,16,0,1065101558,1194083328,2,1,0,0,10739,4539,2338,218,0,0
top,27348,0,1881342,1882701,178,1881727,16,0,1065101558,1194083328,2,4,10,10,284455,52383,5244,15128,11056,47627
top,27348,1,1881342,1882828,178,1881727,16,0,1065101558,1194083328,2,1,0,0,30134,3967,2216,1772,0,0
top,27348,2,1881520,1882954,178,1881727,16,0,1065101558,1194083328,2,1,0,0,12444,6272,2100,207,0,0
top,9985,0,770206,771527,233,769663,16,0,1065101558,1194083328,2,4,10,10,289557,49794,5615,12445,11058,53847
top,9985,1,770206,771678,233,769663,16,0,1065101558,1194083328,2,1,0,0,30017,4074,2379,1772,0,0
top,9985,2,770430,771830,224,770815,16,0,1065101558,1194083328,2,4,10,10,29503,3725,1575,94,300,18693
top,11328,0,855949,857409,305,856447,16,0,1065101558,1194083328,2,4,10,10,295255,46639,5036,15157,15297,56719
top,11328,1,855949,857586,305,856447,16,0,1065101558,1194083328,2,1,0,0,32796,6084,2086,1788,0,0
top,11328,2,855949,857763,305,856447,16,0,1065101558,1194083328,2,1,0,0,9356,3103,1966,202,0,0
top,17413,0,1245611,1246949,203,1246207,16,0,1065101558,1194083328,2,4,10,10,278411,49435,5270,16238,8363,47896
top,17413,1,1245611,1247084,203,1246207,16,0,1065101558,1194083328,2,1,0,0,28912,3606,1586,1782,0,0
top,17413,2,1245809,1247218,198,1246207,16,0,1065101558,1194083328,2,1,0,0,8488,3316,1482,215,0,0
top,34269,0,2324204,2325726,573,2324095,16,0,1065101558,1194083328,2,4,10,10,172971,22945,3419,12432,10972,30490
top,34269,1,2324443,2325871,216,2324479,16,0,1065101558,1194083328,2,4,10,10,31495,6625,2380,99,271,15821
top,34269,2,2324636,2326017,193,2324479,16,0,1065101558,1194083328,2,1,0,0,25981,3928,2348,1784,0,0
top,32214,0,2192684,2194141,527,2192383,16,0,1065101558,1194083328,2,4,10,10,205777,47142,2693,12471,3004,35636
top,32214,1,2192842,2194255,158,2192383,16,0,1065101558,1194083328,2,1,0,0,27246,3924,2350,1782,0,0
top,32214,2,2192842,2194370,158,2192383,16,0,1065101558,1194083328,2,1,0,0,9948,3760,2242,215,0,0
top,27060,0,1862874,1864364,201,1863295,16,0,1065101558,1194083328,2,4,10,10,306871,54669,5233,12446,13687,56547
top,27060,1,1863085,1864498,211,1863295,16,0,1065101558,1194083328,2,1,0,0,28932,3552,2087,1768,0,0
top,27060,2,1863085,1864633,211,1863295,16,0,1065101558,1194083328,2,1,0,0,8940,3260,1964,212,0,0
top,34364,0,2330442,2331771,230,2331007,16,0,1065101558,1194083328,2,4,10,10,280863,44425,4758,12446,11071,48281
top,34364,1,2330442,2331928,230,2331007,16,0,1065101558,1194083328,2,1,0,0,29523,4086,1612,1770,0,0
top,34364,2,2330664,2332084,222,2331007,16,0,1065101558,1194083328,2,1,0,0,21013,10642,1486,210,0,0
top,12450,0,927836,929296,182,928255,16,0,1065101558,1194083328,2,4,10,10,311753,50416,3910,15139,16443,53600
top,12450,1,928007,929416,171,928255,16,0,1065101558,1194083328,2,1,0,0,28515,3225,2015,1755,0,0
top,12450,2,928007,929537,171,928255,16,0,1065101558,1194083328,2,1,0,0,8288,2830,1936,188,0,0
top,28285,0,1941373,1942729,210,1941247,16,0,1065101558,1194083328,2,4,10,10,301427,48713,5687,16292,13713,50694
top,28285,1,1941373,1942868,210,1941247,16,0,1065101558,1194083328,2,1,0,0,29402,2912,2764,1772,0,0
top,28285,2,1941583,1943008,210,1941631,16,0,1065101558,1194083328,2,4,10,10,26418,2604,2042,103,304,16142
top,27864,0,1914349,1915809,305,1914751,16,0,1065101558,1194083328,2,4,10,10,288297,49129,2423,12446,13734,48002
top,27864,1,1914349,1915986,305,1914751,16,0,1065101558,1194083328,2,1,0,0,26858,3301,2039,1765,0,0
top,27864,2,1914349,1916163,305,1914751,16,0,1065101558,1194083328,2,1,0,0,11772,4928,2014,205,0,0
top,8011,0,643724,645135,183,644479,16,0,1065101558,1194083328,2,4,10,10,300315,51251,4335,9742,13648,48182
top,8011,1,643909,645257,185,644479,16,0,1065101558,1194083328,2,1,0,0,28502,3018,1379,1764,0,0
top,8011,2,643909,645379,185,644479,16,0,1065101558,1194083328,2,1,0,0,7999,2663,1276,193,0,0
top,13621,0,1002764,1004175,229,1003519,16,0,1065101558,1194083328,2,4,10,10,308791,45253,3044,12460,12625,58559
top,13621,1,1002993,1004325,231,1003519,16,0,1065101558,1194083328,2,1,0,0,33519,7833,1378,1780,0,0
top,13621,2,1002993,1004475,231,1003519,16,0,1065101558,1194083328,2,1,0,0,7303,2089,1260,192,0,0
top,8300,0,662204,663615,237,662911,16,0,1065101558,1194083328,2,4,10,10,290395,45252,4892,12445,13664,42285
top,8300,1,662439,663773,236,662911,16,0,1065101558,1194083328,2,1,0,0,29224,3505,1344,1766,0,0
top,8300,2,662439,663932,236,662911,16,0,1065101558,1194083328,2,1,0,0,8418,3145,1274,195,0,0
top,11749,0,882973,884468,210,882943,16,0,1065101558,1194083328,2,4,10,10,296419,48542,5986,16293,11045,56655
top,11749,1,883183,884608,210,883327,16,0,1065101558,1194083328,2,4,10,10,27322,2867,2096,79,302,15912
top,11749,2,883183,884747,210,883327,16,0,1065101558,1194083328,2,1,0,0,26986,2669,2075,1787,0,0
top,6955,0,576223,577575,180,576895,16,0,1065101558,1194083328,2,4,10,10,309695,48746,4203,12435,13772,56274
top,6955,1,576223,577694,180,576895,16,0,1065101558,1194083328,2,1,0,0,28034,2881,1348,1762,0,0
top,6955,2,576403,577814,180,576895,16,0,1065101558,1194083328,2,1,0,0,7684,2549,1299,189,0,0
top,36553,0,2470546,2471898,182,2470399,16,0,1065101558,1194083328,2,4,10,10,316677,50906,5680,10940,16399,56148
top,36553,1,2470546,2472019,182,2470399,16,0,1065101558,1194083328,2,1,0,0,28714,2433,2778,1771,0,0
top,36553,2,2470727,2472139,181,2470783,16,0,1065101558,1194083328,2,4,10,10,25870,2131,2044,100,303,16036
top,8994,0,706762,708149,159,706687,16,0,1065101558,1194083328,2,4,10,10,301751,52514,5968,12435,11050,45032
top,8994,1,706921,708254,158,707071,16,0,1065101558,1194083328,2,4,10,10,28665,4072,2319,93,302,15976
top,8994,2,706921,708360,158,707071,16,0,1065101558,1194083328,2,1,0,0,28411,3892,2268,1784,0,0
top,9703,0,752136,753486,171,752767,16,0,1065101558,1194083328,2,4,10,10,304155,48166,4467,13584,11082,53291
top,9703,1,752136,753596,171,752767,16,0,1065101558,1194083328,2,1,0,0,27138,2419,1380,1772,0,0
top,9703,2,752305,753707,169,752767,16,0,1065101558,1194083328,2,1,0,0,6954,2083,1278,201,0,0
top,33782,0,2293195,2294549,194,2293759,16,0,1065101558,1194083328,2,4,10,10,307205,54605,4340,13600,11016,48200
top,33782,1,2293195,2294682,194,2293759,16,0,1065101558,1194083328,2,1,0,0,33470,8714,1362,1764,0,0
top,33782,2,2293392,2294816,197,2293759,16,0,1065101558,1194083328,2,1,0,0,8102,3104,1282,196,0,0
top,26240,0,1810536,1811886,171,1811071,16,0,1065101558,1194083328,2,4,10,10,320319,50907,4309,12430,16705,66824
top,26240,1,1810536,1811996,171,1811071,16,0,1065101558,1194083328,2,1,0,0,29646,2417,1372,1782,0,0
top,26240,2,1810705,1812107,169,1811071,16,0,1065101558,1194083328,2,1,0,0,9872,4913,1280,207,0,0
top,32359,0,2202011,2203353,378,2201983,16,0,1065101558,1194083328,2,4,10,10,291591,48222,5826,12478,11033,51173
top,32359,1,2202011,2203639,378,2201983,16,0,1065101558,1194083328,2,1,0,0,31288,3654,2805,1782,0,0
top,32359,2,2202011,2203925,378,2201983,16,0,1065101558,1194083328,2,1,0,0,9742,3368,2666,216,0,0
top,15820,0,1143611,1144953,378,1143679,16,0,1065101558,1194083328,2,4,10,10,287055,42890,5209,12460,13748,45294
top,15820,1,1143611,1145239,378,1143679,16,0,1065101558,1194083328,2,1,0,0,27190,3645,2084,1784,0,0
top,10521,0,804474,805829,201,804991,16,0,1065101558,1194083328,2,4,10,10,286941,49348,4291,9745,11030,50653
top,10521,1,804474,805964,201,804991,16,0,1065101558,1194083328,2,1,0,0,28411,3480,1357,1780,0,0
top,10521,2,804685,806098,211,804991,16,0,1065101558,1194083328,2,1,0,0,7993,3133,1276,198,0,0
top,33260,0,2259644,2261055,212,2260351,16,0,1065101558,1194083328,2,4,10,10,305441,64347,4367,12436,9897,53492
top,33260,1,2259863,2261196,215,2260351,16,0,1065101558,1194083328,2,1,0,0,37000,8374,1354,1769,0,0
top,33260,2,2259863,2261337,215,2260351,16,0,1065101558,1194083328,2,1,0,0,8662,3037,1289,207,0,0
top,40030,0,2693023,2694375,180,2693503,16,0,1065101558,1194083328,2,4,10,10,289307,51367,4630,16284,10997,53348
top,40030,1,2693023,2694494,180,2693503,16,0,1065101558,1194083328,2,1,0,0,33606,4312,3825,1767,0,0
top,40030,2,2693203,2694614,180,2693503,16,0,1065101558,1194083328,2,1,0,0,8200,2808,1317,220,0,0
top,15060,0,1094710,1096219,266,1095295,16,0,1065101558,1194083328,2,4,10,10,323243,49634,3928,16292,16477,58761
top,15060,1,1094710,1096401,266,1095295,16,0,1065101558,1194083328,2,1,0,0,30534,2413,2072,1764,0,0
top,15060,2,1094710,1096583,266,1095295,16,0,1065101558,1194083328,2,1,0,0,9936,2116,3482,220,0,0
top,1290,0,213642,214971,230,214015,16,0,1065101558,1194083328,2,4,10,10,289837,49745,5700,12445,16377,45212
top,1290,1,213642,215128,230,214015,16,0,1065101558,1194083328,2,1,0,0,30759,4108,2230,2915,0,0
top,1290,2,213864,215284,222,214015,16,0,1065101558,1194083328,2,1,0,0,9815,3740,2172,198,0,0
top,17244,0,1234795,1236149,191,1235455,16,0,1065101558,1194083328,2,4,10,10,292183,51763,4354,16300,16494,48300
top,17244,1,1234795,1236282,191,1235455,16,0,1065101558,1194083328,2,1,0,0,33374,4846,1337,1774,0,0
top,17244,2,1234795,1236416,191,1235455,16,0,1065101558,1194083328,2,1,0,0,8408,3338,1297,210,0,0
top,3480,0,353746,355219,182,353791,16,0,1065101558,1194083328,2,4,10,10,313983,42641,6040,12489,16417,56094
top,3480,1,353746,355340,182,353791,16,0,1065101558,1194083328,2,1,0,0,31346,5085,2756,1782,0,0
top,3480,2,353746,355460,182,353791,16,0,1065101558,1194083328,2,1,0,0,8288,2084,2636,201,0,0
top,20016,0,1412146,1413498,182,1412095,16,0,1065101558,1194083328,2,4,10,10,331249,55541,5712,16328,16442,56382
top,20016,1,1412146,1413619,182,1412095,16,0,1065101558,1194083328,2,1,0,0,28948,2503,2780,1770,0,0
top,20016,2,1412327,1413739,181,1412479,16,0,1065101558,1194083328,2,4,10,10,25994,2158,2014,94,271,16125
top,23144,0,1612050,1613607,412,1612543,16,0,1065101558,1194083328,2,4,10,10,343121,45592,5117,12444,16469,76976
top,23144,1,1612467,1613883,417,1612543,16,0,1065101558,1194083328,2,1,0,0,29614,2394,2090,1774,0,0
top,23144,2,1612467,1614159,417,1612543,16,0,1065101558,1194083328,2,1,0,0,13256,6362,1934,196,0,0
top,30160,0,2061393,2062725,231,2061823,16,0,1065101558,1194083328,2,4,10,10,315143,50925,4330,12496,13737,50830
top,30160,1,2061393,2062875,231,2061823,16,0,1065101558,1194083328,2,1,0,0,27466,2432,1350,1764,0,0
top,30160,2,2061626,2063025,233,2061823,16,0,1065101558,1194083328,2,1,0,0,7048,2126,1273,199,0,0
top,1194,0,207404,208926,573,207487,16,0,1065101558,1194083328,2,4,10,10,223731,33602,5986,10916,3001,39990
top,1194,1,207643,209071,216,207487,16,0,1065101558,1194083328,2,1,0,0,33294,6736,3081,1766,0,0
top,1194,2,207836,209217,193,207871,16,0,1065101558,1194083328,2,4,10,10,30372,5284,2276,83,302,16204
