set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,186,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,296825,48748,29625,13612,1417,27880
top,186,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,30306,3065,1316,1784,0,0
top,186,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7436,2767,1192,200,0,0
top,25532,0,1765162,1766549,159,1764991,16,0,1065101558,1194083328,2,4,10,10,289716,52552,33518,9668,316,32560
top,25532,1,1765321,1766654,158,1765375,16,0,1065101558,1194083328,2,4,10,10,41870,4126,4951,2811,288,15870
top,25532,2,1765321,1766760,158,1765375,16,0,1065101558,1194083328,2,1,0,0,23334,4008,2226,1774,0,0
top,28284,0,1941164,1942590,585,1941247,16,0,1065101558,1194083328,2,4,10,10,294910,45952,34858,13604,1438,25401
top,28284,1,1941373,1942729,210,1941247,16,0,1065101558,1194083328,2,1,0,0,32771,2974,2691,1769,0,0
top,28284,2,1941373,1942868,210,1941247,16,0,1065101558,1194083328,2,1,0,0,9614,2747,2609,201,0,0
top,32215,0,2192842,2194224,170,2192383,16,0,1065101558,1194083328,2,4,10,10,200254,33698,5272,9716,1403,25353
top,32215,1,2192842,2194338,170,2192383,16,0,1065101558,1194083328,2,1,0,0,35444,6702,2303,1781,0,0
top,32215,2,2193023,2194452,181,2193535,16,0,1065101558,1194083328,2,4,10,10,29656,6483,1518,98,300,15880
top,40029,0,2693023,2694375,180,2693503,16,0,1065101558,1194083328,2,4,10,10,289184,50120,32698,10876,1401,27688
top,40029,1,2693023,2694494,180,2693503,16,0,1065101558,1194083328,2,1,0,0,24766,2810,1291,1777,0,0
top,40029,2,2693203,2694614,180,2693503,16,0,1065101558,1194083328,2,1,0,0,7484,2625,1196,208,0,0
top,28986,0,1986236,1987575,182,1986943,16,0,1065101558,1194083328,2,4,10,10,281566,40768,27047,13674,1425,24930
top,28986,1,1986236,1987696,182,1986943,16,0,1065101558,1194083328,2,1,0,0,28214,3141,1289,1769,0,0
top,28986,2,1986407,1987816,171,1986943,16,0,1065101558,1194083328,2,1,0,0,7844,2949,1205,196,0,0
top,27865,0,1914349,1915811,284,1914751,16,0,1065101558,1194083328,2,4,10,10,294066,45263,31301,13622,320,33252
top,27865,1,1914612,1915988,263,1914751,16,0,1065101558,1194083328,2,1,0,0,26981,6167,2001,1771,0,0
top,27865,2,1914612,1916166,263,1914751,16,0,1065101558,1194083328,2,1,0,0,8769,3172,1897,204,0,0
top,10520,0,804284,805695,201,804991,16,0,1065101558,1194083328,2,4,10,10,268554,40833,30037,13612,721,32729
top,10520,1,804474,805829,201,804991,16,0,1065101558,1194083328,2,1,0,0,50226,8869,3936,5629,0,0
top,10520,2,804474,805964,201,804991,16,0,1065101558,1194083328,2,1,0,0,8606,3311,1208,197,0,0
top,20016,0,1412146,1413498,182,1412095,16,0,1065101558,1194083328,2,4,10,10,297348,50839,32504,13303,1785,28084
top,20016,1,1412146,1413619,182,1412095,16,0,1065101558,1194083328,2,1,0,0,34478,6803,2699,1788,0,0
top,20016,2,1412327,1413739,181,1412479,16,0,1065101558,1194083328,2,4,10,10,25904,2258,1958,102,299,16060
top,32358,0,2202011,2203353,378,2201983,16,0,1065101558,1194083328,2,4,10,10,277124,52027,31801,9732,327,24866
top,32358,1,2202011,2203639,378,2201983,16,0,1065101558,1194083328,2,1,0,0,28058,3592,2700,2922,0,0
top,32358,2,2202011,2203925,378,2201983,16,0,1065101558,1194083328,2,1,0,0,9618,3369,2560,198,0,0
top,6607,0,553650,555207,412,553855,16,0,1065101558,1194083328,2,4,10,10,306450,47906,37513,9760,1448,30370
top,6607,1,554067,555483,417,554239,16,0,1065101558,1194083328,2,4,10,10,31545,2377,2064,105,284,18654
top,6607,2,554067,555759,417,554239,16,0,1065101558,1194083328,2,1,0,0,26645,2216,2003,1789,0,0
top,8012,0,643909,645257,185,644479,16,0,1065101558,1194083328,2,4,10,10,311046,53951,31575,9724,5576,33170
top,8012,1,643909,645379,185,644479,16,0,1065101558,1194083328,2,1,0,0,30110,2977,1281,1779,0,0
top,8012,2,644094,645501,185,644479,16,0,1065101558,1194083328,2,1,0,0,7444,2738,1198,184,0,0
top,24549,0,1702309,1703657,185,1702783,16,0,1065101558,1194083328,2,4,10,10,281390,46137,30368,9724,1407,24944
top,24549,1,1702309,1703779,185,1702783,16,0,1065101558,1194083328,2,1,0,0,27546,3011,1293,1777,0,0
top,24549,2,1702494,1703901,185,1702783,16,0,1065101558,1194083328,2,1,0,0,7846,2867,1205,227,0,0
top,16724,0,1201463,1202796,215,1202047,16,0,1065101558,1194083328,2,4,10,10,282558,54555,27277,10922,4105,25259
top,16724,1,1201463,1202937,215,1202047,16,0,1065101558,1194083328,2,1,0,0,25851,3041,1315,2932,0,0
top,16724,2,1201674,1203079,211,1202047,16,0,1065101558,1194083328,2,1,0,0,15318,2868,1203,2637,0,0
top,26240,0,1810536,1811886,171,1811071,16,0,1065101558,1194083328,2,4,10,10,290810,45561,32583,13630,1404,25000
top,26240,1,1810536,1811996,171,1811071,16,0,1065101558,1194083328,2,1,0,0,35053,5132,1305,1784,0,0
top,26240,2,1810705,1812107,169,1811071,16,0,1065101558,1194083328,2,1,0,0,9958,4961,1229,208,0,0
top,33950,0,2303804,2305215,201,2304511,16,0,1065101558,1194083328,2,4,10,10,245007,42538,23515,13576,311,24912
top,33950,1,2304011,2305349,203,2304511,16,0,1065101558,1194083328,2,1,0,0,32398,8851,1550,3060,0,0
top,33950,2,2304011,2305484,203,2304511,16,0,1065101558,1194083328,2,1,0,0,13634,7805,1427,202,0,0
top,17731,0,1265804,1267223,188,1265791,16,0,1065101558,1194083328,2,4,10,10,150642,27034,11104,4335,1421,22198
top,17731,1,1265804,1267349,188,1265791,16,0,1065101558,1194083328,2,1,0,0,30749,3861,2938,1767,0,0
top,17731,2,1265804,1267474,188,1265791,16,0,1065101558,1194083328,2,1,0,0,10605,3734,2837,205,0,0
top,33261,0,2259863,2261196,215,2260351,16,0,1065101558,1194083328,2,4,10,10,267860,51525,25510,13656,1389,25132
top,33261,1,2259863,2261337,215,2260351,16,0,1065101558,1194083328,2,1,0,0,31293,6173,1279,2934,0,0
top,33261,2,2260074,2261479,211,2260351,16,0,1065101558,1194083328,2,1,0,0,7831,2880,1197,207,0,0
top,41088,0,2760709,2762057,185,2761087,16,0,1065101558,1194083328,2,4,10,10,274994,46096,32288,9724,319,24894
top,41088,1,2760709,2762179,185,2761087,16,0,1065101558,1194083328,2,1,0,0,34754,7283,1989,1773,0,0
top,41088,2,2760894,2762301,185,2761087,16,0,1065101558,1194083328,2,1,0,0,8957,2845,1879,212,0,0
top,12450,0,927836,929296,182,928255,16,0,1065101558,1194083328,2,4,10,10,269915,51416,21153,13666,1441,27883
top,12450,1,928007,929416,171,928255,16,0,1065101558,1194083328,2,1,0,0,28196,3106,1973,1781,0,0
top,12450,2,928007,929537,171,928255,16,0,1065101558,1194083328,2,1,0,0,8231,2833,1921,198,0,0
top,15678,0,1134442,1135860,158,1134079,16,0,1065101558,1194083328,2,4,10,10,201236,38761,11173,7042,1428,22322
top,15678,1,1134442,1135975,158,1134079,16,0,1065101558,1194083328,2,1,0,0,27805,3979,2948,2920,0,0
top,15678,2,1134442,1136090,158,1134079,16,0,1065101558,1194083328,2,1,0,0,10349,3788,2872,200,0,0
top,23143,0,1612050,1613607,412,1612543,16,0,1065101558,1194083328,2,4,10,10,300757,49681,33991,16070,1800,24912
top,23143,1,1612467,1613883,417,1612543,16,0,1065101558,1194083328,2,1,0,0,29046,2369,1974,1776,0,0
top,23143,2,1612467,1614159,417,1612543,16,0,1065101558,1194083328,2,1,0,0,10468,4891,1888,206,0,0
top,32431,0,2206604,2208015,175,2207359,16,0,1065101558,1194083328,2,4,10,10,235572,46069,20806,9752,1404,27940
top,32431,1,2206782,2208132,177,2207359,16,0,1065101558,1194083328,2,1,0,0,23882,5949,1570,1773,0,0
top,32431,2,2206782,2208249,177,2207359,16,0,1065101558,1194083328,2,1,0,0,8798,3074,1440,232,0,0
top,32431,3,2206958,2208366,176,2207359,16,0,1065101558,1194083328,2,1,0,0,8054,2995,1443,189,0,0
top,11328,0,855949,857409,305,856447,16,0,1065101558,1194083328,2,4,10,10,264120,43715,33990,13630,336,27224
top,11328,1,855949,857586,305,856447,16,0,1065101558,1194083328,2,1,0,0,35152,3286,1995,1779,0,0
top,11328,2,855949,857763,305,856447,16,0,1065101558,1194083328,2,1,0,0,12106,4707,1910,201,0,0
top,8994,0,706604,708078,591,706687,16,0,1065101558,1194083328,2,4,10,10,279552,55449,29633,13630,1413,24996
top,8994,1,706762,708184,158,706687,16,0,1065101558,1194083328,2,1,0,0,32804,3969,2890,1791,0,0
top,8994,2,706762,708289,158,706687,16,0,1065101558,1194083328,2,1,0,0,10292,3744,2796,192,0,0
top,36554,0,2470546,2471898,182,2470399,16,0,1065101558,1194083328,2,4,10,10,295406,50907,30940,13602,1404,30150
top,36554,1,2470546,2472019,182,2470399,16,0,1065101558,1194083328,2,1,0,0,37952,5191,3724,2977,0,0
top,36554,2,2470727,2472139,181,2470783,16,0,1065101558,1194083328,2,4,10,10,26188,2236,1962,102,303,16090
top,27060,0,1862874,1864363,190,1863295,16,0,1065101558,1194083328,2,4,10,10,290364,47979,34557,13602,1417,27814
top,27060,1,1862874,1864498,190,1863295,16,0,1065101558,1194083328,2,1,0,0,28788,3447,1984,1784,0,0
top,27060,2,1862874,1864632,190,1863295,16,0,1065101558,1194083328,2,1,0,0,11496,3249,1902,210,0,0
top,17414,0,1245611,1246949,203,1246207,16,0,1065101558,1194083328,2,4,10,10,285586,51949,26304,13612,307,35510
top,17414,1,1245611,1247084,203,1246207,16,0,1065101558,1194083328,2,1,0,0,26396,3552,1516,1778,0,0
top,17414,2,1245809,1247218,198,1246207,16,0,1065101558,1194083328,2,1,0,0,11319,6037,1441,206,0,0
top,34364,0,2330442,2331771,230,2331007,16,0,1065101558,1194083328,2,4,10,10,267685,52557,28229,10940,292,25132
top,34364,1,2330442,2331928,230,2331007,16,0,1065101558,1194083328,2,1,0,0,29381,4053,1529,1794,0,0
top,34364,2,2330664,2332084,222,2331007,16,0,1065101558,1194083328,2,1,0,0,9020,3875,1426,216,0,0
top,30159,0,2061164,2062575,229,2061823,16,0,1065101558,1194083328,2,4,10,10,273292,34265,29961,9724,671,24982
top,30159,1,2061393,2062725,231,2061823,16,0,1065101558,1194083328,2,1,0,0,41827,15899,1280,1767,0,0
top,30159,2,2061393,2062875,231,2061823,16,0,1065101558,1194083328,2,1,0,0,7867,2251,1193,197,0,0
top,709,0,176395,177882,194,176767,16,0,1065101558,1194083328,2,4,10,10,295864,51763,31846,13604,327,25205
top,709,1,176592,178016,197,176767,16,0,1065101558,1194083328,2,1,0,0,31070,3345,1991,1775,0,0
top,709,2,176592,178149,197,176767,16,0,1065101558,1194083328,2,1,0,0,8476,3097,1898,191,0,0
