set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,186,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,251601,16317,31136,16292,2992,27848
top,186,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,25275,2922,1312,4482,0,0
top,186,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7321,2611,1241,219,0,0
top,9704,0,752136,753596,171,752767,16,0,1065101558,1194083328,2,4,10,10,256865,18350,31628,13620,3005,25298
top,9704,1,752305,753707,169,752767,16,0,1065101558,1194083328,2,1,0,0,24070,2325,1302,4470,0,0
top,9704,2,752305,753817,169,752767,16,0,1065101558,1194083328,2,1,0,0,6776,1996,1240,206,0,0
top,27865,0,1914349,1915811,284,1914751,16,0,1065101558,1194083328,2,4,10,10,245680,19568,29040,12450,3018,27713
top,27865,1,1914612,1915988,263,1914751,16,0,1065101558,1194083328,2,1,0,0,21429,3239,2010,4492,0,0
top,27865,2,1914612,1916166,263,1914751,16,0,1065101558,1194083328,2,1,0,0,9328,3615,1964,224,0,0
top,33950,0,2303804,2305215,201,2304511,16,0,1065101558,1194083328,2,4,10,10,226843,14078,32124,10884,3031,25052
top,33950,1,2304011,2305349,203,2304511,16,0,1065101558,1194083328,2,1,0,0,24014,3435,1543,4486,0,0
top,33950,2,2304011,2305484,203,2304511,16,0,1065101558,1194083328,2,1,0,0,8884,3196,1476,203,0,0
top,13621,0,1002764,1004175,229,1003519,16,0,1065101558,1194083328,2,4,10,10,241913,15432,30774,10938,3035,24801
top,13621,1,1002993,1004325,231,1003519,16,0,1065101558,1194083328,2,1,0,0,25297,2360,1344,4486,0,0
top,13621,2,1002993,1004475,231,1003519,16,0,1065101558,1194083328,2,1,0,0,7228,2057,1280,198,0,0
top,26521,0,1828364,1829775,227,1827967,16,0,1065101558,1194083328,2,4,10,10,236899,11904,23908,13592,2987,27499
top,26521,1,1828606,1829927,233,1829119,16,0,1065101558,1194083328,2,4,10,10,32292,6651,1636,118,272,16445
top,26521,2,1828606,1830078,233,1829119,16,0,1065101558,1194083328,2,1,0,0,25729,3877,1614,4474,0,0
top,6955,0,576223,577575,180,576895,16,0,1065101558,1194083328,2,4,10,10,255529,21591,33498,13610,2986,25003
top,6955,1,576223,577694,180,576895,16,0,1065101558,1194083328,2,1,0,0,25296,2688,1313,4466,0,0
top,6955,2,576403,577814,180,576895,16,0,1065101558,1194083328,2,1,0,0,7582,2517,1256,198,0,0
top,23492,0,1634623,1635975,180,1635199,16,0,1065101558,1194083328,2,4,10,10,258787,19584,31371,12432,2995,27632
top,23492,1,1634623,1636094,180,1635199,16,0,1065101558,1194083328,2,1,0,0,25125,2701,1308,4490,0,0
top,23492,2,1634803,1636214,180,1635199,16,0,1065101558,1194083328,2,1,0,0,7297,2455,1250,212,0,0
top,6607,0,553650,555207,412,553855,16,0,1065101558,1194083328,2,4,10,10,275893,20876,32673,16348,3034,30434
