set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,32215,0,2192684,2194141,527,2192383,16,0,1065101558,1194083328,2,4,10,10,158051,6829,21239,4355,3425,19885
top,32215,1,2192842,2194255,158,2192383,16,0,1065101558,1194083328,2,1,0,0,22210,3952,2287,2934,0,0
top,32215,2,2192842,2194370,158,2192383,16,0,1065101558,1194083328,2,1,0,0,9797,3700,2230,199,0,0
top,187,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,262501,18883,31010,16294,2996,24982
top,187,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,22608,2902,1324,4490,0,0
top,187,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7402,2631,1256,221,0,0
top,39682,0,2670450,2672007,412,2670847,16,0,1065101558,1194083328,2,4,10,10,266623,18302,31761,13630,3040,30488
top,39682,1,2670867,2672283,417,2670847,16,0,1065101558,1194083328,2,1,0,0,26581,2246,2000,4494,0,0
top,39682,2,2670867,2672559,417,2670847,16,0,1065101558,1194083328,2,1,0,0,7624,1998,1942,214,0,0
top,28285,0,1941164,1942590,585,1941247,16,0,1065101558,1194083328,2,4,10,10,258833,16232,32365,12468,3407,25127
top,28285,1,1941373,1942729,210,1941247,16,0,1065101558,1194083328,2,1,0,0,27363,2839,2702,4486,0,0
top,28285,2,1941373,1942868,210,1941247,16,0,1065101558,1194083328,2,1,0,0,9279,2481,2620,202,0,0
top,26522,0,1828364,1829775,227,1827967,16,0,1065101558,1194083328,2,4,10,10,245969,14654,32066,13628,3015,24702
top,26522,1,1828606,1829927,233,1829119,16,0,1065101558,1194083328,2,4,10,10,31807,6531,1614,102,285,16161
top,26522,2,1828606,1830078,233,1829119,16,0,1065101558,1194083328,2,1,0,0,28791,3816,1593,7080,0,0
top,33783,0,2293195,2294549,194,2293759,16,0,1065101558,1194083328,2,4,10,10,241771,11326,31504,9775,3000,35747
top,33783,1,2293195,2294682,194,2293759,16,0,1065101558,1194083328,2,1,0,0,17513,3288,1320,2934,0,0
top,33783,2,2293392,2294816,197,2293759,16,0,1065101558,1194083328,2,1,0,0,7889,3027,1246,205,0,0
top,3482,0,353746,355219,182,353791,16,0,1065101558,1194083328,2,4,10,10,275923,26206,32842,16320,3053,27451
top,3482,1,353746,355340,182,353791,16,0,1065101558,1194083328,2,1,0,0,28829,2220,5180,4466,0,0
top,3482,2,353746,355460,182,353791,16,0,1065101558,1194083328,2,1,0,0,8576,1949,2619,204,0,0
top,17414,0,1245611,1246949,207,1246207,16,0,1065101558,1194083328,2,4,10,10,234227,16736,31858,15150,3014,25344
top,17414,1,1245611,1247083,207,1246207,16,0,1065101558,1194083328,2,1,0,0,22977,3300,1556,4474,0,0
top,17414,2,1245611,1247218,207,1246207,16,0,1065101558,1194083328,2,1,0,0,8189,3110,1482,219,0,0
top,16725,0,1201463,1202796,215,1202047,16,0,1065101558,1194083328,2,4,10,10,249232,18999,31131,16328,2992,27715
top,16725,1,1201463,1202937,215,1202047,16,0,1065101558,1194083328,2,1,0,0,28219,2836,1327,4498,0,0
top,16725,2,1201674,1203079,211,1202047,16,0,1065101558,1194083328,2,1,0,0,18762,13564,1285,227,0,0
top,40030,0,2693023,2694375,180,2693503,16,0,1065101558,1194083328,2,4,10,10,253405,18878,31094,13628,5946,25417
top,40030,1,2693023,2694494,180,2693503,16,0,1065101558,1194083328,2,1,0,0,19561,2786,1324,4494,0,0
top,40030,2,2693203,2694614,180,2693503,16,0,1065101558,1194083328,2,1,0,0,7303,2424,1256,211,0,0
top,1195,0,207404,208926,573,207487,16,0,1065101558,1194083328,2,4,10,10,186169,6837,24593,13574,3017,22409
top,1195,1,207643,209071,216,207487,16,0,1065101558,1194083328,2,1,0,0,19649,3899,3018,234,0,0
top,1195,2,207836,209217,193,207871,16,0,1065101558,1194083328,2,4,10,10,27690,3692,2282,108,289,16245
top,8012,0,643724,645135,183,644479,16,0,1065101558,1194083328,2,4,10,10,265731,18798,33443,16320,3416,25371
top,8012,1,643724,645257,183,644479,16,0,1065101558,1194083328,2,1,0,0,28123,2891,1310,4468,0,0
top,8012,2,643724,645379,183,644479,16,0,1065101558,1194083328,2,1,0,0,7781,2565,1260,198,0,0
top,10522,0,804474,805829,201,804991,16,0,1065101558,1194083328,2,4,10,10,232855,11513,30942,10920,3021,30213
top,10522,1,804474,805964,201,804991,16,0,1065101558,1194083328,2,1,0,0,25523,3286,1291,4476,0,0
top,10522,2,804685,806098,211,804991,16,0,1065101558,1194083328,2,1,0,0,7909,3090,1283,206,0,0
top,27865,0,1914349,1915809,305,1914751,16,0,1065101558,1194083328,2,4,10,10,247143,17352,31604,15196,3029,24896
top,27865,1,1914349,1915986,305,1914751,16,0,1065101558,1194083328,2,1,0,0,21326,3252,2029,4484,0,0
top,27865,2,1914349,1916163,305,1914751,16,0,1065101558,1194083328,2,1,0,0,8630,3031,1953,213,0,0
top,15679,0,1134442,1135860,158,1134079,16,0,1065101558,1194083328,2,4,10,10,189205,12075,20025,12478,3038,22255
top,15679,1,1134442,1135975,158,1134079,16,0,1065101558,1194083328,2,1,0,0,25140,3802,3006,4490,0,0
top,15679,2,1134442,1136090,158,1134079,16,0,1065101558,1194083328,2,1,0,0,10143,3598,2928,203,0,0
top,15061,0,1094710,1096219,266,1095295,16,0,1065101558,1194083328,2,4,10,10,245535,18198,31592,13592,3036,24765
top,15061,1,1094710,1096401,266,1095295,16,0,1065101558,1194083328,2,1,0,0,26536,2204,2006,4482,0,0
top,15061,2,1094710,1096583,266,1095295,16,0,1065101558,1194083328,2,1,0,0,8073,1915,1960,225,0,0
top,24550,0,1702309,1703657,185,1702783,16,0,1065101558,1194083328,2,4,10,10,252761,16497,31702,16302,2993,27748
top,24550,1,1702309,1703779,185,1702783,16,0,1065101558,1194083328,2,1,0,0,22267,2863,1330,4490,0,0
top,24550,2,1702494,1703901,185,1702783,16,0,1065101558,1194083328,2,1,0,0,7464,2656,1249,212,0,0
top,36554,0,2470546,2471899,182,2470399,16,0,1065101558,1194083328,2,4,10,10,254505,18278,32390,16356,3036,27648
top,36554,1,2470546,2472019,182,2470399,16,0,1065101558,1194083328,2,1,0,0,26017,2249,2743,4472,0,0
top,36554,2,2470546,2472140,182,2470399,16,0,1065101558,1194083328,2,1,0,0,8243,1992,2640,201,0,0
top,6956,0,576223,577575,180,576895,16,0,1065101558,1194083328,2,4,10,10,241265,16702,30796,16302,3003,25204
top,6956,1,576223,577694,180,576895,16,0,1065101558,1194083328,2,1,0,0,25181,2685,1304,4482,0,0
top,6956,2,576403,577814,180,576895,16,0,1065101558,1194083328,2,1,0,0,7473,2454,1244,211,0,0
top,9704,0,752136,753485,172,752767,16,0,1065101558,1194083328,2,4,10,10,251311,18317,31840,13610,3021,30694
top,9704,1,752136,753595,172,752767,16,0,1065101558,1194083328,2,1,0,0,21657,2183,1304,4472,0,0
top,9704,2,752136,753705,172,752767,16,0,1065101558,1194083328,2,1,0,0,6655,1931,1240,206,0,0
top,33951,0,2303804,2305215,201,2304511,16,0,1065101558,1194083328,2,4,10,10,204207,5947,28938,9774,3013,25110
top,33951,1,2304011,2305349,203,2304511,16,0,1065101558,1194083328,2,1,0,0,38640,6120,1572,4489,0,0
top,33951,2,2304011,2305484,203,2304511,16,0,1065101558,1194083328,2,1,0,0,9184,3353,1515,218,0,0
top,24841,0,1720839,1722173,235,1721215,16,0,1065101558,1194083328,2,4,10,10,250157,22128,29101,13602,3019,28065
top,24841,1,1720839,1722332,235,1721215,16,0,1065101558,1194083328,2,1,0,0,24599,3369,2024,4482,0,0
top,24841,2,1720839,1722490,235,1721215,16,0,1065101558,1194083328,2,1,0,0,13954,3133,4662,233,0,0
top,28987,0,1986236,1987575,182,1986943,16,0,1065101558,1194083328,2,4,10,10,250841,16516,33865,13620,3014,24904
top,28987,1,1986236,1987696,182,1986943,16,0,1065101558,1194083328,2,1,0,0,23051,3052,1312,4488,0,0
top,28987,2,1986407,1987816,171,1986943,16,0,1065101558,1194083328,2,1,0,0,7681,2773,1257,214,0,0
top,26241,0,1810536,1811886,171,1811071,16,0,1065101558,1194083328,2,4,10,10,252335,18348,31464,13610,3015,25676
top,26241,1,1810536,1811996,171,1811071,16,0,1065101558,1194083328,2,1,0,0,27089,5009,1327,4478,0,0
top,26241,2,1810705,1812107,169,1811071,16,0,1065101558,1194083328,2,1,0,0,6951,2057,1236,205,0,0
top,11329,0,855949,857409,305,856447,16,0,1065101558,1194083328,2,4,10,10,239037,19367,31558,13656,3030,25037
top,11329,1,855949,857586,305,856447,16,0,1065101558,1194083328,2,1,0,0,30343,3191,1990,4486,0,0
top,11329,2,855949,857763,305,856447,16,0,1065101558,1194083328,2,1,0,0,9435,3172,1978,217,0,0
top,17246,0,1234795,1236149,194,1235455,16,0,1065101558,1194083328,2,4,10,10,243087,14274,31000,13628,2996,30766
top,17246,1,1234795,1236282,194,1235455,16,0,1065101558,1194083328,2,1,0,0,20533,3309,1324,4478,0,0
top,17246,2,1234992,1236416,197,1235455,16,0,1065101558,1194083328,2,1,0,0,7949,3027,1264,205,0,0
top,6608,0,553650,555207,412,553855,16,0,1065101558,1194083328,2,4,10,10,272411,18350,32587,16338,3013,28233
top,6608,1,554067,555483,417,554239,16,0,1065101558,1194083328,2,4,10,10,29190,2309,2040,106,267,16263
top,6608,2,554067,555759,417,554239,16,0,1065101558,1194083328,2,1,0,0,24495,2183,2044,4492,0,0
top,17732,0,1265804,1267326,573,1265791,16,0,1065101558,1194083328,2,4,10,10,146787,9236,11347,4368,3010,22368
top,17732,1,1266043,1267471,216,1266175,16,0,1065101558,1194083328,2,4,10,10,28402,3814,2317,94,266,15983
top,15821,0,1143611,1144953,378,1143679,16,0,1065101558,1194083328,2,4,10,10,233793,19612,31864,13818,3044,27673
top,15821,1,1143611,1145239,378,1143679,16,0,1065101558,1194083328,2,1,0,0,21418,3402,2022,2942,0,0
top,17827,0,1272042,1273371,230,1272703,16,0,1065101558,1194083328,2,4,10,10,203069,9526,28975,12470,3017,19845
top,17827,1,1272042,1273528,230,1272703,16,0,1065101558,1194083328,2,1,0,0,23767,3944,1505,4484,0,0
top,17827,2,1272264,1273684,222,1272703,16,0,1065101558,1194083328,2,1,0,0,8629,3604,1452,206,0,0
top,709,0,176395,177749,191,176767,16,0,1065101558,1194083328,2,4,10,10,247810,16749,31997,16274,3020,25123
top,709,1,176395,177882,191,176767,16,0,1065101558,1194083328,2,1,0,0,23945,3313,2010,4484,0,0
top,709,2,176395,178016,191,176767,16,0,1065101558,1194083328,2,1,0,0,8913,3124,1969,207,0,0
top,34270,0,2324204,2325726,573,2324095,16,0,1065101558,1194083328,2,4,10,10,143761,6821,13927,9775,343,25213
top,34270,1,2324443,2325871,216,2324479,16,0,1065101558,1194083328,2,4,10,10,28759,3818,2367,94,275,15985
top,34270,2,2324636,2326017,193,2324479,16,0,1065101558,1194083328,2,1,0,0,12627,3853,2317,242,0,0
top,12451,0,927836,929296,182,928255,16,0,1065101558,1194083328,2,4,10,10,258330,19388,31717,16338,3419,27819
top,12451,1,928007,929416,171,928255,16,0,1065101558,1194083328,2,1,0,0,25839,3058,2009,4476,0,0
top,12451,2,928007,929537,171,928255,16,0,1065101558,1194083328,2,1,0,0,8262,2763,1973,201,0,0
top,27061,0,1862874,1864363,190,1863295,16,0,1065101558,1194083328,2,4,10,10,247023,19379,31733,16554,3038,25234
top,27061,1,1862874,1864498,190,1863295,16,0,1065101558,1194083328,2,1,0,0,26221,6015,2014,1790,0,0
top,27061,2,1862874,1864632,190,1863295,16,0,1065101558,1194083328,2,1,0,0,8609,3071,1947,200,0,0
top,11749,0,882973,884329,210,882943,16,0,1065101558,1194083328,2,4,10,10,249681,16179,32497,16302,3009,27664
top,11749,1,882973,884468,210,882943,16,0,1065101558,1194083328,2,1,0,0,29293,5273,2785,4482,0,0
top,11749,2,883183,884608,210,883327,16,0,1065101558,1194083328,2,4,10,10,29300,2504,1997,93,284,16451
top,31598,0,2153110,2154619,269,2153599,16,0,1065101558,1194083328,2,4,10,10,273323,18271,34299,18894,3018,30717
top,31598,1,2153382,2154802,272,2153599,16,0,1065101558,1194083328,2,1,0,0,26208,2235,2018,4488,0,0
top,31598,2,2153382,2154984,272,2153599,16,0,1065101558,1194083328,2,1,0,0,8135,2038,1955,215,0,0
top,32360,0,2202011,2203353,378,2201983,16,0,1065101558,1194083328,2,4,10,10,242365,19494,29981,16338,3055,25239
top,32360,1,2202011,2203639,378,2201983,16,0,1065101558,1194083328,2,1,0,0,28531,3479,2712,4483,0,0
top,32360,2,2202011,2203925,378,2201983,16,0,1065101558,1194083328,2,1,0,0,9467,3224,2611,212,0,0
top,27349,0,1881342,1882701,178,1881727,16,0,1065101558,1194083328,2,4,10,10,222531,17209,31926,13610,3043,22218
top,27349,1,1881342,1882828,178,1881727,16,0,1065101558,1194083328,2,1,0,0,22176,3839,2169,4490,0,0
top,27349,2,1881520,1882954,178,1881727,16,0,1065101558,1194083328,2,1,0,0,9636,3548,2103,210,0,0
top,1291,0,213642,214971,230,214015,16,0,1065101558,1194083328,2,4,10,10,242299,14901,29983,16328,3423,25223
top,1291,1,213642,215128,230,214015,16,0,1065101558,1194083328,2,1,0,0,27816,3924,2225,4482,0,0
top,1291,2,213864,215284,222,214015,16,0,1065101558,1194083328,2,1,0,0,9720,3673,2160,208,0,0
