set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,185,0,143063,144396,219,143743,16,0,1065101558,1194083328,2,4,10,10,277527,27429,41081,15104,1493,22764
top,185,1,143063,144537,219,143743,16,0,1065101558,1194083328,2,1,0,0,21781,2863,1296,5223,0,0
top,185,2,143063,144678,219,143743,16,0,1065101558,1194083328,2,1,0,0,7335,2632,1258,199,0,0
top,24548,0,1702309,1703657,185,1702783,16,0,1065101558,1194083328,2,4,10,10,279729,37005,41382,15114,2555,22870
top,24548,1,1702309,1703779,185,1702783,16,0,1065101558,1194083328,2,1,0,0,26639,2823,1342,5240,0,0
top,24548,2,1702494,1703901,185,1702783,16,0,1065101558,1194083328,2,1,0,0,7776,2791,1318,216,0,0
top,11328,0,856212,857588,263,856447,16,0,1065101558,1194083328,2,4,10,10,277057,20631,41387,13960,737,32329
top,11328,1,856212,857766,263,856447,16,0,1065101558,1194083328,2,1,0,0,28586,3287,2029,5226,0,0
top,33780,0,2293004,2294415,200,2293759,16,0,1065101558,1194083328,2,4,10,10,256911,25627,40787,11195,2562,22890
top,33780,1,2293195,2294549,194,2293759,16,0,1065101558,1194083328,2,1,0,0,30504,6070,1338,5224,0,0
top,33780,2,2293195,2294682,194,2293759,16,0,1065101558,1194083328,2,1,0,0,13084,3027,1258,195,0,0
top,6606,0,553650,555207,412,553855,16,0,1065101558,1194083328,2,4,10,10,285699,24621,45279,15078,1483,29896
top,6606,1,554067,555483,417,554239,16,0,1065101558,1194083328,2,4,10,10,34245,2301,2103,114,284,16094
top,6606,2,554067,555759,417,554239,16,0,1065101558,1194083328,2,1,0,0,25902,2128,2022,5240,0,0
top,23491,0,1634623,1635975,180,1635199,16,0,1065101558,1194083328,2,4,10,10,270351,25075,41143,15112,1448,31200
top,23491,1,1634623,1636094,180,1635199,16,0,1065101558,1194083328,2,1,0,0,26712,2738,1338,5253,0,0
top,23491,2,1634803,1636214,180,1635199,16,0,1065101558,1194083328,2,1,0,0,7416,2492,1304,198,0,0
top,6954,0,576223,577575,180,576895,16,0,1065101558,1194083328,2,4,10,10,267913,20190,40911,15058,2566,22796
top,6954,1,576223,577694,180,576895,16,0,1065101558,1194083328,2,1,0,0,26890,2767,1333,5244,0,0
top,6954,2,576403,577814,180,576895,16,0,1065101558,1194083328,2,1,0,0,7502,2485,1261,198,0,0
top,40028,0,2693023,2694375,180,2693503,16,0,1065101558,1194083328,2,4,10,10,275265,25026,41143,11185,1438,24650
top,40028,1,2693023,2694494,180,2693503,16,0,1065101558,1194083328,2,1,0,0,26335,2719,1322,5231,0,0
top,40028,2,2693203,2694614,180,2693503,16,0,1065101558,1194083328,2,1,0,0,7269,2463,1246,193,0,0
top,41087,0,2760709,2762057,185,2761087,16,0,1065101558,1194083328,2,4,10,10,272201,25161,42600,11193,2560,22916
top,41087,1,2760709,2762179,185,2761087,16,0,1065101558,1194083328,2,1,0,0,27885,2824,1990,5224,0,0
top,41087,2,2760894,2762301,185,2761087,16,0,1065101558,1194083328,2,1,0,0,8671,2593,1951,206,0,0
top,36553,0,2470546,2471898,182,2470399,16,0,1065101558,1194083328,2,4,10,10,288241,24593,42288,11239,2575,41806
top,36553,1,2470546,2472019,182,2470399,16,0,1065101558,1194083328,2,1,0,0,28048,2308,2722,5232,0,0
top,36553,2,2470727,2472139,181,2470783,16,0,1065101558,1194083328,2,4,10,10,26091,2065,2000,62,295,16136
top,8300,0,662439,663773,236,662911,16,0,1065101558,1194083328,2,4,10,10,279929,27671,41769,15114,1485,34906
top,8300,1,662439,663932,236,662911,16,0,1065101558,1194083328,2,1,0,0,27092,3377,1320,5245,0,0
top,8300,2,662675,664090,236,662911,16,0,1065101558,1194083328,2,1,0,0,7872,3118,1267,195,0,0
top,17825,0,1272042,1273371,230,1272703,16,0,1065101558,1194083328,2,4,10,10,257205,21419,37264,15050,2581,32082
top,17825,1,1272042,1273528,230,1272703,16,0,1065101558,1194083328,2,1,0,0,25278,3938,1552,5234,0,0
top,17825,2,1272264,1273684,222,1272703,16,0,1065101558,1194083328,2,1,0,0,8664,3711,1433,186,0,0
top,25531,0,1765162,1766549,159,1764991,16,0,1065101558,1194083328,2,4,10,10,268143,11780,37589,13974,7943,41740
top,25531,1,1765321,1766654,158,1765375,16,0,1065101558,1194083328,2,4,10,10,40999,8508,7172,100,286,16088
top,25531,2,1765321,1766760,158,1765375,16,0,1065101558,1194083328,2,1,0,0,27533,3890,2244,5225,0,0
top,28283,0,1941164,1942590,585,1941247,16,0,1065101558,1194083328,2,4,10,10,266093,25070,42109,15068,2594,22838
